Cl,Cd
-0.7369,0.11018
-0.9548,0.04413
-0.9861,0.03098
-0.9742,0.02694
-0.9592,0.02321
-0.938,0.02128
-0.9127,0.02058
-0.8873,0.01977
-0.8619,0.01879
-0.8363,0.01765
-0.8101,0.01671
-0.7831,0.01599
-0.7574,0.01467
-0.7305,0.01392
-0.7028,0.01339
-0.675,0.01285
-0.6469,0.01235
-0.6185,0.01191
-0.5907,0.01121
-0.5618,0.01088
-0.5328,0.01056
-0.5038,0.01007
-0.4744,0.00973
-0.4446,0.00944
-0.4147,0.00906
-0.3553,0.00867
-0.3302,0.00852
-0.3048,0.00836
-0.2791,0.00818
-0.2526,0.00798
-0.2264,0.00772
-0.1999,0.0074
-0.173,0.00692
-0.1455,0.00623
-0.1182,0.00571
-0.0905,0.00543
-0.0624,0.00525
-0.0346,0.0051
-0.0068,0.00501
0.0208,0.00492
0.048,0.00485
0.0736,0.00474
0.0971,0.0046
0.1338,0.00475
0.1625,0.00511
0.1913,0.00552
0.2202,0.00595
0.2492,0.00631
0.2781,0.00662
0.3071,0.0069
0.3361,0.00715
0.365,0.0074
0.3938,0.00764
0.4227,0.00786
0.4515,0.00811
0.4802,0.00834
0.5089,0.00858
0.5375,0.00883
0.5661,0.00907
0.5947,0.00932
0.6231,0.00958
0.6515,0.00987
0.6798,0.01015
0.708,0.01042
0.7361,0.01074
0.7639,0.01113
0.792,0.01142
0.8195,0.01188
0.8472,0.01221
0.8747,0.01259
0.9016,0.01315
0.9289,0.01351
0.9559,0.01393
0.9823,0.01448
1.0081,0.01519
1.0345,0.01569
1.0605,0.01624
1.0862,0.01681
1.1114,0.01744
1.1351,0.01837
1.1582,0.01937
1.1827,0.02002
1.2065,0.02073
1.2295,0.02156
1.2522,0.02236
1.2749,0.02306
1.2958,0.02399
1.3106,0.02585
1.3323,0.02652
1.3515,0.0275
1.3688,0.02864
1.384,0.02994
1.3973,0.03131
1.4087,0.03274
1.4171,0.03424
1.4166,0.03604
1.4133,0.03833
1.4075,0.0414
1.3992,0.04538
1.3854,0.05106
1.3635,0.05968
1.3125,0.0759
1.2096,0.1015
