Cl,Cd
-0.9764,0.08894
-1.0795,0.07619
-1.2484,0.05519
-1.4578,0.02614
-1.4765,0.02344
-1.5061,0.02096
-1.5297,0.01924
-1.5188,0.01855
-1.554,0.01525
-1.5274,0.01536
-1.405,0.01543
-1.3658,0.01626
-1.3322,0.01676
-1.3026,0.01696
-1.2739,0.01702
-1.2458,0.01711
-1.2175,0.01719
-1.1887,0.01733
-1.1569,0.01783
-1.1261,0.01806
-1.1052,0.017
-1.0787,0.01667
-1.0505,0.01654
-1.0217,0.01641
-0.9918,0.01639
-0.9608,0.01644
-0.9294,0.01637
-0.8968,0.01634
-0.8661,0.01623
-0.8387,0.01607
-0.8103,0.01611
-0.7829,0.01593
-0.7556,0.01577
-0.7278,0.01571
-0.7004,0.01556
-0.6724,0.01555
-0.6453,0.01535
-0.6176,0.01515
-0.5897,0.01511
-0.5629,0.015
-0.5364,0.01482
-0.5095,0.01469
-0.4832,0.01447
-0.4564,0.01436
-0.4291,0.01437
-0.4021,0.01437
-0.3757,0.01419
-0.3486,0.01423
-0.3224,0.01405
-0.2961,0.01388
-0.2699,0.01371
-0.2436,0.01358
-0.2174,0.01344
-0.1912,0.01329
-0.165,0.01316
-0.1389,0.01305
-0.1127,0.01294
-0.0867,0.01285
-0.0609,0.01281
-0.0352,0.01279
-0.0091,0.01268
0.0161,0.01242
0.0421,0.01236
0.0677,0.01225
0.0931,0.01214
0.1185,0.01203
0.1438,0.01194
0.1693,0.0119
0.1949,0.01186
0.2201,0.01181
0.2456,0.01181
0.2709,0.01181
0.296,0.01184
0.3211,0.01191
0.3459,0.01201
0.3711,0.01209
0.397,0.01206
0.4225,0.01213
0.4483,0.01213
0.4739,0.01215
0.4993,0.01216
0.5247,0.01223
0.5502,0.01227
0.5756,0.0123
0.601,0.01235
0.6261,0.01241
0.651,0.01244
0.676,0.01244
0.7008,0.01251
0.7251,0.01264
0.7489,0.01283
0.7747,0.01288
0.8004,0.01295
0.8265,0.01299
0.8522,0.01307
0.8773,0.01315
0.9037,0.01319
0.93,0.01324
0.9557,0.01332
0.9813,0.01341
1.0069,0.0135
1.0325,0.01366
1.0575,0.01385
1.0842,0.01399
1.1114,0.01411
1.1408,0.01423
1.1699,0.01437
1.1987,0.01454
1.2262,0.01478
1.254,0.01498
1.2837,0.0152
1.3147,0.0155
1.3428,0.01592
1.3787,0.01619
1.4117,0.01641
1.443,0.01674
1.538,0.01714
1.5451,0.01794
1.5642,0.0194
1.5758,0.01999
1.5752,0.02119
1.5926,0.02154
1.5929,0.02279
1.6024,0.02362
1.5938,0.02563
1.5966,0.02716
1.5823,0.03034
