Cl,Cd
-1.2981,0.05463
-1.3229,0.04753
-1.3453,0.04232
-1.3603,0.03874
-1.3721,0.03589
-1.378,0.03368
-1.3747,0.03162
-1.3654,0.02991
-1.3526,0.0284
-1.3371,0.02707
-1.3197,0.02587
-1.3009,0.02476
-1.2806,0.02373
-1.2591,0.02279
-1.2384,0.02161
-1.215,0.02077
-1.1903,0.02006
-1.1417,0.01893
-1.1211,0.01826
-1.1,0.01779
-1.0769,0.01736
-1.0528,0.01697
-1.0296,0.01657
-1.0055,0.01622
-0.9805,0.01574
-0.9562,0.01523
-0.9315,0.01487
-0.9063,0.01458
-0.8797,0.01424
-0.8535,0.01392
-0.8275,0.01362
-0.8016,0.01335
-0.7759,0.01289
-0.7487,0.01259
-0.7216,0.01236
-0.6946,0.01215
-0.6676,0.01196
-0.6409,0.01164
-0.6132,0.01137
-0.5854,0.01118
-0.5579,0.01099
-0.5308,0.01082
-0.5034,0.01054
-0.4759,0.01027
-0.4486,0.01012
-0.4209,0.00994
-0.3924,0.00981
-0.3653,0.00948
-0.3374,0.00931
-0.3088,0.00921
-0.2807,0.00916
-0.2526,0.00881
-0.2244,0.00865
-0.1957,0.00851
-0.1674,0.00834
-0.1387,0.00816
-0.1101,0.00803
-0.0815,0.0078
-0.0553,0.00703
-0.0295,0.00625
-0.0031,0.00571
0.0234,0.00536
0.0492,0.00509
0.0741,0.00501
0.0991,0.00518
0.1292,0.00561
0.1634,0.00617
0.2017,0.0066
0.2462,0.00692
0.2842,0.00713
0.3211,0.0073
0.3591,0.00746
0.3957,0.00758
0.4315,0.00774
0.4595,0.00779
0.4854,0.00787
0.5113,0.00799
0.5371,0.00806
0.5629,0.00814
0.5887,0.00825
0.6145,0.00843
0.6404,0.00849
0.6664,0.00858
0.6922,0.00873
0.7182,0.00888
0.7443,0.00896
0.7704,0.0091
0.7964,0.00929
0.8228,0.00938
0.8489,0.00956
0.8752,0.00971
0.9014,0.00988
0.9276,0.01008
0.9537,0.0103
0.98,0.01053
1.0058,0.01082
1.0316,0.01113
1.0569,0.01152
1.0817,0.01199
1.1061,0.0125
1.1303,0.01303
1.1542,0.01359
1.1778,0.01416
1.2012,0.01476
1.225,0.01524
1.2475,0.0159
1.2707,0.01642
1.2936,0.01693
1.3149,0.01761
1.3351,0.01838
1.3574,0.01884
1.3786,0.01939
1.3983,0.02006
1.4156,0.0209
1.4287,0.02204
1.4464,0.02267
1.462,0.02339
1.4728,0.02422
1.4827,0.02516
1.4922,0.0262
1.5006,0.02739
1.5077,0.02875
1.5123,0.03037
1.5134,0.03239
1.5098,0.03498
1.5003,0.03838
1.4894,0.04231
1.4856,0.04576
1.4784,0.05
1.4647,0.05562
1.4419,0.06338
1.4091,0.07339
1.3688,0.08451
1.326,0.09555
