Cl,Cd
-1.1889,0.09296
-1.2567,0.07521
-1.2924,0.06449
-1.3144,0.05718
-1.3288,0.05164
-1.3379,0.04729
-1.3428,0.04373
-1.3446,0.04076
-1.3434,0.03826
-1.3396,0.03617
-1.3475,0.0331
-1.3478,0.03093
-1.3424,0.02936
-1.3337,0.02815
-1.3233,0.02714
-1.3121,0.02626
-1.2982,0.02546
-1.2816,0.02466
-1.2636,0.0239
-1.2442,0.02322
-1.2236,0.02261
-1.2017,0.0221
-1.1863,0.02074
-1.1652,0.02004
-1.1424,0.0195
-1.1189,0.01899
-1.0951,0.01849
-1.0708,0.018
-1.046,0.01755
-1.0206,0.01718
-0.999,0.01624
-0.9691,0.01577
-0.9378,0.01539
-0.9093,0.01502
-0.8842,0.0147
-0.86,0.01444
-0.8386,0.01382
-0.8141,0.01342
-0.7894,0.01315
-0.7631,0.01289
-0.737,0.01264
-0.711,0.01236
-0.6853,0.01187
-0.6589,0.01161
-0.6318,0.0114
-0.6041,0.01119
-0.5773,0.01085
-0.5504,0.0106
-0.5222,0.01039
-0.4941,0.01023
-0.4669,0.00993
-0.4388,0.00975
-0.4104,0.00957
-0.3824,0.00935
-0.3542,0.00922
-0.3257,0.00901
-0.297,0.00885
-0.2685,0.0087
-0.24,0.00857
-0.2109,0.00843
-0.1821,0.00826
-0.1533,0.00811
-0.1247,0.00799
-0.0956,0.00781
-0.0667,0.00759
-0.0381,0.00729
-0.0109,0.00659
0.0163,0.00579
0.0446,0.00557
0.0736,0.00547
0.1023,0.00544
0.1315,0.00539
0.1604,0.00539
0.1897,0.00538
0.2189,0.00541
0.2476,0.00544
0.2763,0.00549
0.3048,0.00561
0.3324,0.00575
0.359,0.00614
0.3821,0.00715
0.4063,0.00801
0.4331,0.00837
0.4603,0.00861
0.488,0.00885
0.5152,0.00906
0.5426,0.00925
0.6243,0.00983
0.6507,0.01007
0.6775,0.01021
0.7037,0.01045
0.7294,0.01064
0.7549,0.01082
0.7786,0.01111
0.8023,0.01123
0.8288,0.01141
0.8595,0.0118
0.8874,0.01201
0.9147,0.01227
0.941,0.01261
0.9663,0.01304
0.9928,0.01331
1.0188,0.0136
1.0443,0.01395
1.0673,0.01453
1.0929,0.01482
1.1178,0.01517
1.1423,0.01553
1.1659,0.01596
1.1861,0.01671
1.2104,0.01702
1.2339,0.0174
1.2566,0.01782
1.2786,0.01828
1.2989,0.01886
1.3149,0.01976
1.3356,0.02021
1.354,0.02071
1.3708,0.02128
1.3872,0.02188
1.4032,0.02253
1.4183,0.02326
1.4304,0.02423
1.4376,0.02561
1.4533,0.02635
1.4673,0.02723
1.48,0.02823
1.4918,0.02933
1.5027,0.03049
1.513,0.03174
1.5224,0.03309
1.5305,0.03457
1.5365,0.03628
1.5394,0.03832
1.5373,0.04089
1.5303,0.04408
1.5328,0.04639
1.5338,0.04894
1.5324,0.05185
1.5298,0.05504
1.525,0.05866
1.5182,0.06274
1.5091,0.06735
1.4972,0.07258
1.4817,0.07866
1.4628,0.08566
1.438,0.09401
