Cl,Cd
-0.4407,0.08222
-0.4455,0.07689
-0.4523,0.0709
-0.4655,0.06378
-0.4818,0.05859
-0.493,0.05356
-0.4995,0.04905
-0.5031,0.0447
-0.5041,0.04038
-0.5042,0.03685
-0.5339,0.03856
-0.5191,0.03632
-0.4618,0.02971
-0.4399,0.02729
-0.3943,0.01163
-0.3739,0.00976
-0.3457,0.01692
-0.3197,0.01596
-0.2928,0.01543
-0.267,0.01385
-0.2407,0.01303
-0.214,0.01233
-0.188,0.01104
-0.162,0.01044
-0.1356,0.00999
-0.1083,0.00975
-0.0818,0.00933
-0.0552,0.0089
-0.0278,0.00868
-0.0001,0.00854
0.0279,0.00842
0.056,0.00832
0.0841,0.00825
0.1119,0.00813
0.1396,0.00812
0.1677,0.00805
0.1902,0.00688
0.2148,0.0064
0.2406,0.00614
0.2651,0.00576
0.2896,0.00558
0.3143,0.00557
0.3384,0.00558
0.3648,0.00558
0.3913,0.00564
0.4187,0.00561
0.4471,0.00562
0.4766,0.0056
0.5059,0.00593
0.5391,0.00613
0.5719,0.00638
0.6044,0.00673
0.636,0.00715
0.6682,0.00758
0.7009,0.00799
0.7334,0.00834
0.7618,0.00867
0.7829,0.00897
0.8036,0.0093
0.8249,0.00965
0.8464,0.01001
0.8684,0.0104
0.8904,0.01085
0.912,0.01142
0.9357,0.0118
0.9579,0.01241
0.9823,0.01272
1.0065,0.01308
1.0296,0.01357
1.0506,0.01432
1.0748,0.01466
1.0981,0.0151
1.1154,0.01625
1.1389,0.01662
1.1607,0.01719
1.182,0.01778
1.2,0.01871
1.2121,0.0202
1.2317,0.02084
1.2493,0.02164
1.2649,0.02258
1.2781,0.02364
1.288,0.02471
1.296,0.0259
1.3027,0.02722
1.3076,0.02874
1.3103,0.03053
1.3107,0.03268
1.3082,0.03532
1.3035,0.0385
1.2961,0.04229
1.2862,0.04666
1.2745,0.05146
1.261,0.05666
1.2452,0.06231
1.2275,0.06867
1.2114,0.07536
1.1942,0.0826
1.1761,0.09034
1.1591,0.09811
1.1399,0.10646
1.1201,0.11504
1.0993,0.12404
1.0765,0.13371
1.0453,0.14592
