Cl,Cd
-0.7241,0.07079
-0.7674,0.06025
-0.8021,0.05426
-0.8355,0.05015
-0.8682,0.04728
-0.8985,0.04419
-0.916,0.03883
-0.9348,0.03122
-0.9264,0.02785
-0.9081,0.02569
-0.8858,0.02398
-0.8613,0.02256
-0.8355,0.02131
-0.8123,0.02026
-0.7919,0.01935
-0.7665,0.01844
-0.7395,0.0176
-0.7118,0.01681
-0.6832,0.01609
-0.6537,0.01542
-0.6232,0.01481
-0.5922,0.01424
-0.5622,0.01346
-0.549,0.01286
-0.5204,0.0123
-0.49,0.0119
-0.4593,0.01155
-0.4281,0.01123
-0.3975,0.01084
-0.367,0.01044
-0.3399,0.01026
-0.3176,0.00994
-0.289,0.00973
-0.2598,0.00941
-0.2291,0.00915
-0.1993,0.0088
-0.1777,0.00838
-0.1518,0.00814
-0.1245,0.00782
-0.0971,0.00744
-0.0707,0.00693
-0.049,0.00641
-0.0253,0.00595
0.0013,0.00564
0.0291,0.00541
0.0554,0.00527
0.0818,0.00515
0.111,0.00504
0.1375,0.00498
0.1932,0.00487
0.2211,0.00481
0.248,0.00478
0.2747,0.00475
0.3015,0.00476
0.3279,0.00479
0.3538,0.00482
0.3786,0.00492
0.4012,0.00511
0.4216,0.00539
0.442,0.00572
0.4628,0.00606
0.4806,0.00661
0.4999,0.00715
0.5198,0.00767
0.5405,0.00811
0.5616,0.00852
0.5836,0.00883
0.6061,0.0091
0.6308,0.00936
0.6578,0.00976
0.6884,0.01007
0.7217,0.0104
0.7555,0.01065
0.7903,0.01092
0.8193,0.01121
0.837,0.01147
0.8559,0.01181
0.8771,0.01211
0.9002,0.01232
0.9234,0.01256
0.9464,0.01282
0.9694,0.01311
0.9912,0.01349
1.0122,0.01394
1.0369,0.01408
1.0611,0.01426
1.0842,0.01452
1.1053,0.01494
1.128,0.01519
1.1496,0.01549
1.1699,0.01587
1.1886,0.01636
1.2091,0.01671
1.2294,0.01707
1.2489,0.0175
1.2658,0.01812
1.2842,0.01861
1.3027,0.01908
1.3206,0.01959
1.3376,0.02016
1.3516,0.02096
1.367,0.02163
1.3834,0.02223
1.3984,0.02291
1.4103,0.02385
1.4202,0.02491
1.4341,0.02569
1.4462,0.0266
1.4567,0.02763
1.4629,0.02901
1.4687,0.03043
1.4783,0.03157
1.4861,0.03289
1.4929,0.03431
1.4984,0.03589
1.5023,0.03766
1.5039,0.03971
1.5022,0.04216
1.4966,0.04514
1.4787,0.05254
1.4704,0.05657
1.4597,0.06123
1.4447,0.06682
1.4259,0.07337
1.4006,0.08155
1.3653,0.09205
1.314,0.10617
