Cl,Cd
0.4381,0.10704
0.4465,0.10513
0.4594,0.10274
0.4752,0.10015
0.4936,0.09735
0.4997,0.09601
0.505,0.09473
0.5146,0.09324
0.5286,0.09124
0.5461,0.08883
0.5566,0.08705
0.5584,0.08571
0.5646,0.08416
0.5763,0.08214
0.5939,0.07988
0.6017,0.07867
0.6048,0.07758
0.6118,0.07638
0.624,0.0748
0.6421,0.07287
0.6422,0.07183
0.6432,0.07069
0.6481,0.06944
0.6606,0.06795
0.6658,0.06628
0.6616,0.06557
0.6572,0.06496
0.6649,0.06389
0.6784,0.06257
0.6508,0.06299
0.6451,0.06236
0.653,0.06111
0.6693,0.05947
0.6524,0.05926
0.6477,0.05856
0.6584,0.05724
0.6793,0.05497
0.6657,0.05454
0.6655,0.05367
0.674,0.05261
0.6926,0.05115
0.7135,0.04965
0.7088,0.04899
0.7195,0.04776
0.7434,0.04609
0.7884,0.04392
0.8108,0.04179
0.8127,0.04094
0.8297,0.03978
0.8537,0.03852
0.8861,0.03703
0.9297,0.03524
0.9948,0.03324
1.009,0.0321
1.0266,0.03083
1.0552,0.02975
1.0804,0.02893
1.1088,0.02808
1.16,0.0269
1.2169,0.02575
1.2421,0.02465
1.2615,0.02408
1.2813,0.02371
1.2978,0.02359
1.312,0.02362
1.3274,0.02371
1.3376,0.02465
1.3221,0.02634
1.3096,0.02814
1.2723,0.03152
1.2494,0.03442
1.2193,0.03805
1.1891,0.04206
1.2035,0.04315
1.2229,0.04315
1.2431,0.04355
1.2639,0.04408
1.2849,0.04472
1.3252,0.04481
1.3412,0.0455
1.3582,0.04626
1.3745,0.04719
1.3932,0.04806
1.4236,0.04839
1.437,0.04951
1.4507,0.0507
1.4727,0.0515
1.4841,0.05288
1.4959,0.05427
1.5066,0.05587
1.5191,0.05735
1.5289,0.05901
1.5371,0.06092
1.543,0.06311
1.5598,0.06427
1.5679,0.06625
1.5742,0.06847
1.5796,0.07081
1.5836,0.07338
1.5895,0.0757
1.5938,0.07823
1.6002,0.08053
1.6077,0.08265
1.6178,0.08441
1.6297,0.08588
1.6449,0.08688
1.6647,0.08723
1.6896,0.08709
1.7208,0.08603
1.7664,0.08358
1.805,0.08249
1.8113,0.08447
1.9956,0.0986
1.9933,0.10138
1.9895,0.10431
1.9848,0.10726
1.9789,0.11031
1.9725,0.11343
1.9651,0.1166
1.9571,0.11987
1.9483,0.12329
1.9393,0.12666
