x,y
1.0,1.7e-05
0.99,0.002665
0.98,0.0053
0.97,0.007908
0.96,0.010476
0.94,0.015445
0.92,0.020228
0.9,0.024969
0.88,0.029788
0.86,0.034665
0.84,0.039536
0.82,0.04434
0.8,0.049016
0.78,0.053513
0.76,0.057843
0.74,0.062037
0.72,0.066124
0.7,0.070132
0.68,0.074083
0.66,0.077941
0.64,0.081651
0.62,0.085162
0.6,0.08842
0.58,0.091381
0.56,0.094041
0.54,0.096411
0.52,0.098502
0.5,0.100325
0.48,0.101889
0.46,0.103203
0.44,0.104272
0.42,0.105102
0.4,0.105701
0.38,0.106072
0.36,0.106208
0.34,0.106096
0.32,0.105721
0.3,0.105072
0.28,0.104131
0.26,0.102869
0.24,0.101247
0.22,0.099224
0.2,0.09676
0.18,0.093809
0.16,0.090304
0.14,0.086166
0.12,0.081168
0.1,0.07483
0.08,0.066712
0.06,0.057153
0.05,0.051542
0.04,0.044922
0.03,0.037219
0.02,0.028474
0.012,0.020461
0.008,0.015913
0.004,0.010475
0.002,0.006903
0.001,0.004508
0.0005,0.002888
0.0,0.0
0.0005,-0.004901
0.001,-0.006367
0.002,-0.008488
0.004,-0.011547
0.008,-0.015852
0.012,-0.019008
0.02,-0.023277
0.03,-0.026547
0.04,-0.028816
0.05,-0.030386
0.06,-0.031423
0.08,-0.032236
0.1,-0.031904
0.12,-0.03108
0.14,-0.029893
0.16,-0.02832
0.18,-0.026446
0.2,-0.024474
0.22,-0.022586
0.24,-0.020826
0.26,-0.0192
0.28,-0.017715
0.3,-0.016376
0.32,-0.015184
0.34,-0.014128
0.36,-0.013189
0.38,-0.012349
0.4,-0.011592
0.42,-0.010903
0.44,-0.01028
0.46,-0.009724
0.48,-0.009237
0.5,-0.008819
0.52,-0.008471
0.54,-0.008182
0.56,-0.00794
0.58,-0.007733
0.6,-0.00755
0.62,-0.007379
0.64,-0.007218
0.66,-0.007066
0.68,-0.006921
0.7,-0.006782
0.72,-0.00665
0.74,-0.006527
0.76,-0.00642
0.78,-0.006333
0.8,-0.006273
0.82,-0.006235
0.84,-0.006185
0.86,-0.006077
0.88,-0.005866
0.9,-0.005508
0.92,-0.004955
0.94,-0.004142
0.96,-0.003006
0.97,-0.002322
0.98,-0.001584
0.99,-0.00081
1.0,-1.7e-05
