Cl,Cd
-0.3701,0.14184
-0.7533,0.06575
-0.964,0.03198
-0.9425,0.02977
-0.9185,0.028
-0.8903,0.02676
-0.8737,0.02466
-0.8512,0.02296
-0.819,0.02214
-0.7907,0.02144
-0.7582,0.02066
-0.7266,0.01985
-0.696,0.01915
-0.6668,0.01863
-0.6397,0.01811
-0.6224,0.01708
-0.6039,0.0162
-0.5822,0.01574
-0.5592,0.01539
-0.5366,0.015
-0.5141,0.01458
-0.4914,0.01417
-0.4681,0.01379
-0.4438,0.01353
-0.4196,0.01324
-0.3995,0.0125
-0.3767,0.01203
-0.3527,0.01171
-0.3279,0.01143
-0.3031,0.01118
-0.2777,0.01093
-0.252,0.01073
-0.2262,0.01058
-0.2015,0.01018
-0.176,0.00992
-0.15,0.00975
-0.1234,0.00957
-0.0967,0.00943
-0.071,0.00917
-0.0444,0.00905
-0.0178,0.00886
0.0088,0.00871
0.0351,0.00858
0.0621,0.00853
0.0889,0.0084
0.1161,0.00836
0.1427,0.00829
0.1698,0.00823
0.1972,0.00819
0.2238,0.00808
0.2506,0.00804
0.2778,0.00799
0.3047,0.00791
0.3313,0.00784
0.3579,0.00783
0.3845,0.00773
0.4107,0.00768
0.4365,0.00762
0.4627,0.00757
0.4887,0.00756
0.5152,0.00752
0.5408,0.00752
0.5674,0.0075
0.5926,0.00751
0.6181,0.00752
0.6429,0.00755
0.6666,0.0076
0.6894,0.00769
0.7117,0.00779
0.7331,0.00786
0.7401,0.00715
0.8697,0.00739
0.9331,0.00772
0.9589,0.00794
0.9793,0.00817
0.9994,0.00839
1.0193,0.00862
1.0388,0.00886
1.0586,0.00908
1.078,0.00931
1.0967,0.00956
1.1148,0.00982
1.1318,0.01011
1.1491,0.01037
1.1664,0.01062
1.1823,0.01091
1.1991,0.01115
1.212,0.01143
1.2243,0.01165
1.2348,0.01195
1.2493,0.01218
1.2625,0.0125
1.2776,0.01279
1.2938,0.01306
1.309,0.0134
1.3232,0.01381
1.3412,0.01409
1.3573,0.01446
1.3723,0.01492
1.3885,0.01533
1.4056,0.01572
1.4208,0.01622
1.4353,0.01679
1.4521,0.01724
1.465,0.01794
1.4796,0.01854
1.487,0.01961
1.4857,0.02125
1.487,0.02282
1.4731,0.02552
1.4686,0.02771
1.4719,0.02939
1.4759,0.03108
1.4847,0.03242
1.4898,0.0341
1.4935,0.03594
1.499,0.03768
1.5054,0.03937
1.5096,0.04133
1.5138,0.04331
1.5136,0.04579
1.5095,0.04879
1.5101,0.05137
1.5129,0.05374
1.511,0.05673
1.5114,0.05953
1.5078,0.06288
1.503,0.06647
1.4963,0.07042
1.4884,0.07464
1.4776,0.07935
1.4622,0.08483
1.4485,0.09018
1.4299,0.09641
1.4069,0.10342
