Cl,Cd
-0.7917,0.04573
-0.7997,0.04025
-0.8164,0.03603
-0.8391,0.03319
-0.8506,0.03122
-0.8575,0.02919
-0.8632,0.02777
-0.8579,0.02589
-0.8329,0.02386
-0.8058,0.02222
-0.7798,0.0209
-0.7519,0.01958
-0.7222,0.01839
-0.6915,0.01723
-0.6623,0.01639
-0.6336,0.01568
-0.6043,0.01488
-0.5728,0.01437
-0.5542,0.01297
-0.528,0.01239
-0.5044,0.01194
-0.4796,0.01155
-0.455,0.01117
-0.43,0.01087
-0.4063,0.01027
-0.3809,0.00999
-0.355,0.00972
-0.3297,0.00936
-0.3039,0.00905
-0.2776,0.00881
-0.2515,0.00853
-0.2256,0.00821
-0.2013,0.00767
-0.1758,0.00731
-0.1494,0.0071
-0.1225,0.00694
-0.0956,0.00682
-0.0684,0.0067
-0.0412,0.00661
-0.0143,0.00651
0.0126,0.00641
0.0396,0.00634
0.0665,0.00625
0.0932,0.00619
0.1196,0.00613
0.146,0.00606
0.1722,0.00596
0.1981,0.00583
0.2237,0.0057
0.2492,0.00557
0.2742,0.00544
0.2984,0.00529
0.321,0.00511
0.345,0.00505
0.3728,0.00512
0.4032,0.00523
0.4353,0.00535
0.4728,0.00549
0.5064,0.00564
0.5459,0.00579
0.5828,0.00596
0.6167,0.00617
0.6534,0.00637
0.6895,0.00662
0.7164,0.00686
0.7376,0.00712
0.7591,0.00737
0.7806,0.00761
0.8022,0.00786
0.824,0.0081
0.8461,0.00832
0.8683,0.00855
0.8907,0.00877
0.913,0.00901
0.9352,0.00928
0.9574,0.00954
0.9798,0.0098
1.0025,0.01005
1.025,0.01032
1.0474,0.01061
1.0693,0.01093
1.0914,0.01125
1.1131,0.0116
1.1341,0.01199
1.1539,0.01247
1.1727,0.01303
1.1876,0.01384
1.2017,0.0147
1.2187,0.01532
1.2347,0.01599
1.252,0.01652
1.2677,0.01701
1.2813,0.01755
1.2941,0.01814
1.3048,0.01887
1.3119,0.01983
1.3186,0.02083
1.3316,0.02149
1.3426,0.0223
1.3535,0.02313
1.366,0.0239
1.3697,0.02529
1.3771,0.02648
1.3818,0.02793
1.3825,0.02977
1.3719,0.03267
1.3713,0.03495
1.3755,0.03688
1.38,0.03887
1.3784,0.04162
1.3802,0.0441
1.3791,0.04702
1.3753,0.05043
1.3698,0.05421
1.361,0.05861
1.3569,0.06255
1.3435,0.06797
1.3343,0.07299
1.3217,0.07874
1.3044,0.08539
1.2951,0.09096
1.2807,0.09753
1.2658,0.10424
