Cl,Cd
-0.4133,0.08377
-0.418,0.07892
-0.4251,0.07476
-0.4362,0.07109
-0.4086,0.0642
-0.4132,0.06073
-0.4118,0.05753
-0.4085,0.05407
-0.4026,0.05054
-0.4083,0.04491
-0.3994,0.04236
-0.3874,0.04009
-0.3737,0.0378
-0.3588,0.03543
-0.3428,0.03303
-0.326,0.03051
-0.3079,0.02802
-0.2841,0.02561
-0.2721,0.02141
-0.2497,0.02028
-0.2268,0.01925
-0.2241,0.11791
-0.1752,0.01848
0.0038,0.16966
-0.124,0.01192
-0.0997,0.01101
-0.0753,0.01047
-0.0504,0.01008
0.0005,0.00953
0.0264,0.00935
0.0527,0.00917
0.0772,0.00885
0.1024,0.0086
0.1189,0.00767
0.1119,0.00595
0.1335,0.00624
0.1574,0.0065
0.1854,0.00672
0.215,0.00704
0.2612,0.00739
0.3005,0.00763
0.3133,0.00761
0.3445,0.00763
0.3751,0.00769
0.4065,0.00771
0.4375,0.00775
0.4677,0.00782
0.4984,0.00785
0.5282,0.00791
0.5568,0.00798
0.5853,0.00802
0.6136,0.00809
0.6408,0.00817
0.6664,0.0082
0.6879,0.00826
0.7042,0.00833
0.7352,0.00837
0.7651,0.00847
0.795,0.00856
0.8248,0.00864
0.8539,0.00878
0.8834,0.00885
0.912,0.009
0.9406,0.0091
0.9684,0.00925
0.9962,0.00939
1.0228,0.00959
1.0486,0.00972
1.0696,0.00992
1.0967,0.01017
1.1537,0.01077
1.1811,0.01114
1.2075,0.01159
1.2329,0.01209
1.257,0.01266
1.2793,0.01331
1.3017,0.01397
1.3261,0.01478
1.3502,0.01551
1.3715,0.01648
1.3824,0.01694
1.3761,0.01744
1.3662,0.01791
1.3665,0.01843
1.367,0.01932
1.3662,0.02053
1.3702,0.02171
1.3714,0.0233
1.3714,0.02524
1.3742,0.02716
1.3722,0.0297
1.3721,0.0322
1.37,0.03501
1.3625,0.03846
1.3583,0.04163
1.3537,0.04486
1.3464,0.04848
1.3392,0.05212
1.3268,0.05645
1.3163,0.06072
1.3109,0.06447
1.3023,0.0687
1.2945,0.07288
1.285,0.07743
1.2749,0.08214
1.2643,0.08698
