Cl,Cd
-0.6398,0.05535
-0.6878,0.04675
-0.7324,0.04195
-0.7615,0.03964
-0.7658,0.03616
-0.7722,0.03195
-0.7632,0.02908
-0.743,0.02716
-0.7198,0.02551
-0.7133,0.02251
-0.6931,0.02039
-0.6644,0.01952
-0.6335,0.01892
-0.6046,0.01803
-0.5805,0.01747
-0.5506,0.01663
-0.5177,0.016
-0.4825,0.01535
-0.4592,0.01482
-0.4317,0.01339
-0.4058,0.01289
-0.3774,0.01246
-0.352,0.01206
-0.3257,0.01167
-0.302,0.0114
-0.2793,0.01097
-0.257,0.0106
-0.2338,0.01038
-0.2112,0.01017
-0.1892,0.01002
-0.171,0.00974
-0.1521,0.00971
-0.1317,0.0097
-0.1119,0.00956
-0.0896,0.00951
-0.0678,0.00936
-0.046,0.00918
-0.024,0.009
-0.0011,0.00884
0.0212,0.00865
0.0417,0.00839
0.0532,0.00769
0.0724,0.00745
0.0932,0.00727
0.1206,0.00735
0.1478,0.00745
0.1751,0.00751
0.2021,0.00762
0.2284,0.00762
0.2546,0.00767
0.2812,0.00773
0.3073,0.00774
0.3327,0.00776
0.3597,0.0078
0.3847,0.00779
0.4109,0.00779
0.4364,0.00783
0.4626,0.00786
0.4879,0.00792
0.5139,0.00796
0.5391,0.00805
0.5639,0.00814
0.5876,0.00823
0.6109,0.00836
0.6342,0.00851
0.6574,0.00867
0.6808,0.00882
0.7042,0.00898
0.7513,0.00923
0.7738,0.00935
0.8163,0.00954
0.8404,0.0097
0.8633,0.0099
0.8867,0.01007
0.9086,0.01026
0.9299,0.01044
0.9507,0.01062
0.9705,0.01084
0.9887,0.01113
1.0063,0.01145
1.0232,0.01181
1.0389,0.01221
1.0528,0.01267
1.0672,0.01312
1.0818,0.01355
1.0982,0.01393
1.1138,0.01432
1.1278,0.01478
1.1452,0.01511
1.1616,0.01548
1.175,0.01596
1.1884,0.01642
1.2055,0.01675
1.2155,0.01739
1.2251,0.01807
1.2133,0.01976
1.1905,0.02218
1.1901,0.02359
1.195,0.02479
1.1978,0.02619
1.2035,0.02748
1.2081,0.02893
1.2136,0.03038
1.2156,0.03216
1.2168,0.03412
1.2163,0.0363
1.2075,0.03937
1.207,0.04179
1.2115,0.04379
1.2083,0.04663
1.2096,0.04906
1.2049,0.05226
1.2036,0.05513
1.198,0.05859
1.1917,0.06225
1.1841,0.06622
1.1744,0.07058
1.1633,0.0753
1.1576,0.07938
1.1417,0.08508
1.1208,0.09174
1.1131,0.09647
1.0996,0.10221
1.087,0.1079
