Cl,Cd
-0.4314,0.08769
-0.4447,0.08488
-0.4485,0.08149
-0.4481,0.07783
-0.4432,0.07346
-0.4165,0.06743
-0.3975,0.05948
-0.3759,0.05634
-0.3496,0.0529
-0.3212,0.04878
-0.2818,0.04267
-0.2633,0.03842
-0.2383,0.03332
-0.1985,0.02762
-0.1797,0.0265
-0.1513,0.02492
-0.1229,0.02205
-0.0944,0.01732
-0.0465,0.0162
0.0192,0.01664
0.0629,0.01541
0.0856,0.01227
0.1095,0.01172
0.1283,0.01141
0.1464,0.01125
0.1673,0.01114
0.189,0.01059
0.212,0.01023
0.2359,0.01002
0.2604,0.00949
0.283,0.00916
0.3057,0.00892
0.3289,0.00874
0.352,0.00859
0.3755,0.00847
0.3995,0.0084
0.4235,0.00836
0.4474,0.00838
0.4717,0.0084
0.4954,0.00849
0.5196,0.00857
0.5437,0.00866
0.5683,0.00875
0.7521,0.00735
0.776,0.00747
0.8001,0.00757
0.8239,0.0077
0.8481,0.00781
0.8717,0.00796
0.8955,0.0081
0.9189,0.00827
0.9422,0.00844
0.9616,0.00892
0.9791,0.00955
1.0002,0.0099
1.0211,0.01027
1.0367,0.01106
1.0511,0.01197
1.0719,0.01234
1.0912,0.01283
1.1113,0.01325
1.1315,0.01364
1.1508,0.0141
1.1693,0.01461
1.1868,0.01518
1.2005,0.01602
1.2084,0.01722
1.2278,0.01758
1.2431,0.0182
1.2547,0.01902
1.268,0.01971
1.2768,0.02065
1.2896,0.02125
1.2892,0.02226
1.2972,0.02288
1.3019,0.02376
1.3052,0.0248
1.306,0.02609
1.3073,0.02746
1.2849,0.03133
1.2891,0.03272
1.295,0.03393
1.297,0.03575
1.2984,0.03776
1.2973,0.04021
1.2915,0.04345
1.2899,0.04626
1.2888,0.04917
1.2825,0.05291
1.2743,0.057
1.265,0.06144
1.2537,0.06622
1.2481,0.07034
1.2323,0.07617
1.2185,0.08184
1.2001,0.08858
1.1901,0.09416
