Cl,Cd
-0.5596,0.08759
-0.5183,0.09342
-0.6582,0.05945
-0.6726,0.05383
-0.6926,0.04789
-0.7037,0.04368
-0.7192,0.03981
-0.7446,0.03729
-0.7262,0.0316
-0.7,0.02776
-0.6713,0.02506
-0.64,0.02274
-0.612,0.02097
-0.5811,0.01961
-0.5494,0.01847
-0.5234,0.01759
-0.4969,0.01649
-0.4728,0.01559
-0.4477,0.01481
-0.4227,0.01402
-0.3983,0.01281
-0.3723,0.01206
-0.3452,0.01151
-0.3177,0.01104
-0.29,0.01065
-0.2619,0.01028
-0.2338,0.00998
-0.2055,0.00957
-0.1771,0.00925
-0.1486,0.00901
-0.1199,0.00849
-0.0913,0.00817
-0.0623,0.0079
-0.0336,0.00766
-0.0047,0.00742
0.0241,0.00708
0.0532,0.00679
0.0821,0.00656
0.1112,0.00637
0.1399,0.00625
0.169,0.00615
0.1978,0.0061
0.2264,0.00608
0.2549,0.00609
0.2833,0.0061
0.3118,0.00612
0.3402,0.00615
0.3686,0.0062
0.397,0.00625
0.4253,0.0063
0.4819,0.00644
0.5101,0.00653
0.5383,0.00661
0.5665,0.0067
0.5947,0.00679
0.6228,0.00688
0.6508,0.00699
0.6789,0.00709
0.707,0.00719
0.735,0.00729
0.7628,0.00741
0.7906,0.00753
0.8184,0.00766
0.8459,0.0078
0.8732,0.00797
0.9004,0.00814
0.9275,0.00832
0.9543,0.00853
0.981,0.00875
1.0076,0.00897
1.0339,0.00921
1.0602,0.00945
1.0864,0.00969
1.137,0.01033
1.1611,0.01075
1.1851,0.01115
1.2095,0.01145
1.2512,0.01183
1.2764,0.01213
1.3248,0.0129
1.3485,0.01331
1.3715,0.01375
1.3956,0.01407
1.4187,0.01447
1.4406,0.01493
1.4617,0.01545
1.4824,0.01596
1.502,0.01652
1.5229,0.01694
1.5437,0.01733
1.5619,0.01787
1.5756,0.01851
1.5923,0.01893
1.6064,0.0195
1.6181,0.02022
1.6313,0.02089
1.6438,0.02161
1.6546,0.02248
1.6639,0.02348
1.6754,0.02438
1.6874,0.02528
1.6977,0.02632
1.7064,0.02754
1.7128,0.02899
1.7218,0.03028
1.7308,0.03162
1.7348,0.03346
1.7396,0.03529
1.7329,0.03835
1.7247,0.04175
1.7202,0.04495
1.7167,0.04819
1.7115,0.05183
1.7075,0.05549
1.7038,0.05926
1.6996,0.06326
1.6935,0.0677
1.6862,0.07244
1.6769,0.07766
1.6665,0.08322
1.6548,0.08916
1.6417,0.0955
1.6274,0.10224
1.6116,0.10942
1.5957,0.11675
1.5788,0.12442
