Cl,Cd
-0.0924,0.08876
-0.0932,0.08455
-0.0917,0.08106
-0.0885,0.07814
-0.0918,0.07372
-0.098,0.06873
-0.1105,0.062
-0.1546,0.05155
-0.2809,0.03679
-0.2742,0.03603
-0.2774,0.03322
-0.2657,0.03213
-0.3077,0.02019
-0.2949,0.0176
-0.272,0.01686
-0.247,0.01655
-0.2234,0.01576
-0.1988,0.01522
-0.1746,0.0145
-0.1502,0.01381
-0.1252,0.01327
-0.1011,0.01263
-0.076,0.01217
-0.0487,0.01201
-0.0222,0.01172
0.0051,0.01155
0.0293,0.01103
0.0566,0.01084
0.0831,0.01054
0.1093,0.01021
0.1368,0.01003
0.1648,0.0099
0.1915,0.0096
0.2192,0.00944
0.2472,0.00933
0.2753,0.00926
0.303,0.00909
0.3277,0.00852
0.3507,0.00776
0.3744,0.00711
0.3992,0.00669
0.4253,0.00656
0.4536,0.00662
0.4823,0.00672
0.5106,0.00678
0.5392,0.00685
0.5674,0.00689
0.596,0.00697
0.6241,0.00701
0.6528,0.00706
0.6817,0.00712
0.7104,0.00719
0.7385,0.00722
0.7664,0.00722
0.7946,0.00721
0.8231,0.00725
0.8513,0.00729
0.8793,0.00734
0.907,0.00737
0.9349,0.0074
0.9627,0.00743
0.9905,0.00749
1.0174,0.00751
1.0442,0.00752
1.071,0.00757
1.0975,0.00765
1.124,0.00769
1.15,0.00776
1.1751,0.00785
1.1995,0.00791
1.2232,0.00802
1.2458,0.00816
1.2657,0.00835
1.2836,0.0086
1.2938,0.00895
1.2812,0.00961
1.2686,0.01058
1.2419,0.01245
1.2341,0.0138
1.2209,0.01699
1.2054,0.01929
1.2099,0.02059
1.192,0.02319
1.1768,0.02586
1.1781,0.02758
1.1713,0.0299
1.1693,0.03198
1.1638,0.03436
1.1685,0.03607
1.1793,0.03734
1.1895,0.03871
1.2012,0.03996
1.2143,0.04111
1.224,0.04254
1.2341,0.04396
1.2451,0.04531
1.2605,0.04632
1.2695,0.04789
1.2684,0.05033
1.2739,0.05228
1.2811,0.05409
1.289,0.05586
1.2974,0.05763
1.3053,0.05944
1.3112,0.06148
1.317,0.06356
1.3226,0.0657
1.3264,0.0681
1.3317,0.07033
1.332,0.07317
1.3285,0.07652
1.3306,0.0793
1.3363,0.08166
1.3356,0.08487
1.3378,0.08773
1.339,0.09078
1.3417,0.09368
1.3408,0.09712
1.3398,0.10063
1.3373,0.10438
1.3364,0.10792
1.3345,0.1117
1.3344,0.11522
