Cl,Cd
0.1016,0.13125
0.109,0.12887
0.1169,0.12647
0.1252,0.12405
0.1336,0.12164
0.1422,0.11923
0.1509,0.11682
0.1597,0.11441
0.1686,0.11199
0.1775,0.10957
0.1867,0.10714
0.2055,0.10174
0.2152,0.09926
0.2254,0.09698
0.2355,0.09477
0.2458,0.09258
0.2563,0.09037
0.2666,0.08819
0.2772,0.086
0.288,0.08377
0.2985,0.08158
0.3091,0.07937
0.3204,0.07701
0.3308,0.07467
0.3395,0.07242
0.3473,0.07027
0.3566,0.06763
0.3687,0.06546
0.3821,0.06357
0.3972,0.06157
0.4139,0.05944
0.432,0.05725
0.4516,0.05496
0.4768,0.0522
0.5148,0.04837
0.5508,0.04479
0.5918,0.04086
0.6231,0.03743
0.6583,0.03518
0.7429,0.02888
0.8425,0.02249
0.8906,0.02022
0.9496,0.01693
0.9837,0.01618
1.0162,0.01606
1.059,0.01413
1.092,0.01353
1.1339,0.01185
1.1659,0.01136
1.1952,0.01122
1.2252,0.01104
1.2556,0.01087
1.2846,0.01082
1.3152,0.01067
1.3429,0.01073
1.371,0.01076
1.3999,0.01074
1.4349,0.01028
1.4635,0.01021
1.4896,0.01025
1.5144,0.01036
1.5385,0.01029
1.5643,0.01032
1.5907,0.01046
1.6165,0.01064
1.6414,0.01087
1.6677,0.01099
1.6939,0.01111
1.7194,0.01127
1.7443,0.01145
1.7682,0.01168
1.7923,0.01189
1.8176,0.01202
1.8422,0.01218
1.866,0.01237
1.8887,0.01261
1.9095,0.01292
1.9325,0.01307
1.9551,0.01324
1.9767,0.01345
1.997,0.01371
2.0155,0.01403
2.0342,0.01435
2.0558,0.01455
2.0757,0.01479
2.0893,0.01529
2.1105,0.0155
2.1274,0.01589
2.1413,0.01643
2.1605,0.01673
2.1726,0.01737
2.188,0.01787
2.1972,0.0187
2.2072,0.01952
2.2117,0.02069
2.2093,0.02234
2.1968,0.02479
2.1763,0.0281
2.1485,0.03245
2.1218,0.03718
2.0916,0.04264
2.0624,0.04836
2.0004,0.06092
1.9709,0.06732
1.9377,0.07439
1.9076,0.08121
1.8765,0.08834
