Cl,Cd
-0.8322,0.08139
-0.8791,0.06806
-0.9112,0.05588
-0.9486,0.04296
-0.946,0.03978
-0.9605,0.03652
-0.9514,0.03516
-0.9648,0.03175
-0.9502,0.0306
-0.9284,0.02997
-0.9335,0.02836
-0.926,0.0271
-0.9135,0.02586
-0.8929,0.02512
-0.8765,0.02396
-0.8726,0.0232
-0.8651,0.02206
-0.849,0.02106
-0.8285,0.02028
-0.8033,0.01977
-0.8033,0.01898
-0.7831,0.01847
-0.7582,0.01797
-0.7328,0.0174
-0.7129,0.01623
-0.6867,0.01565
-0.6589,0.01519
-0.654,0.01482
-0.6291,0.01444
-0.604,0.01379
-0.5766,0.01325
-0.547,0.01288
-0.5164,0.01251
-0.4854,0.01194
-0.4702,0.0118
-0.4436,0.01158
-0.4141,0.0112
-0.3814,0.011
-0.3476,0.01066
-0.3116,0.01047
-0.2744,0.01032
-0.2363,0.00996
-0.2299,0.00989
-0.2005,0.00971
-0.1675,0.00957
-0.1309,0.0094
-0.092,0.00902
-0.0528,0.00879
-0.0129,0.00861
-0.0083,0.00862
0.0187,0.00845
0.0494,0.00824
0.0831,0.00771
0.1182,0.00734
0.1548,0.00709
0.1934,0.00686
0.1946,0.00681
0.2156,0.00663
0.2388,0.00627
0.2502,0.00557
0.3772,0.00586
0.4149,0.00602
0.4519,0.00617
0.476,0.00642
0.4933,0.00669
0.5356,0.0068
0.5507,0.00698
0.5802,0.00713
0.6149,0.0073
0.6512,0.00747
0.6624,0.00765
0.6973,0.00771
0.7287,0.00777
0.7492,0.00791
0.7737,0.00801
0.7945,0.0081
0.788,0.00883
0.7816,0.01003
0.7997,0.01079
0.8275,0.01132
0.831,0.0119
0.8376,0.01238
0.8479,0.01276
0.8586,0.01317
0.8724,0.01346
0.8868,0.01372
0.9009,0.014
0.916,0.01426
0.9325,0.01447
0.9478,0.01476
0.9637,0.01502
0.9792,0.01531
0.9946,0.01562
1.0094,0.01598
1.025,0.01633
1.0396,0.01674
1.0539,0.01718
1.0693,0.01754
1.0844,0.01794
1.0967,0.01857
1.1121,0.01895
1.127,0.01939
1.1418,0.01985
1.1553,0.02042
1.165,0.02125
1.1788,0.02179
1.1914,0.02244
1.2078,0.02278
1.2203,0.02342
1.232,0.02413
1.2442,0.02478
1.2484,0.02608
1.2545,0.02723
1.2676,0.02785
1.2791,0.0286
1.2893,0.02946
1.3016,0.03014
1.3088,0.03123
1.3181,0.03217
1.3246,0.03334
1.3274,0.03484
1.3337,0.03603
1.3305,0.03808
1.3277,0.04016
1.3272,0.04208
1.3233,0.0444
1.332,0.04553
1.3376,0.04699
1.3368,0.04911
1.3279,0.05221
1.3295,0.05428
1.3147,0.05829
1.3048,0.06196
1.2936,0.06599
1.2957,0.06854
1.2743,0.07439
1.2633,0.07917
1.253,0.08405
1.2425,0.08931
1.1892,0.10234
1.1733,0.10921
