Cl,Cd
-0.2385,0.10705
-0.2354,0.10439
-0.3219,0.11028
-0.3162,0.10803
-0.3123,0.10539
-0.3079,0.10308
-0.3042,0.10076
-0.2496,0.08394
-0.2234,0.07821
-0.1911,0.07341
-0.1556,0.06608
-0.1452,0.06175
-0.143,0.05652
-0.1423,0.04836
-0.1222,0.04758
-0.1009,0.04731
-0.0851,0.04281
-0.1129,0.01485
-0.0837,0.01577
-0.0547,0.01661
-0.0264,0.01739
0.0008,0.01776
0.0277,0.018
0.045,0.01404
0.0712,0.01387
0.0979,0.01409
0.1245,0.01408
0.1495,0.01338
0.1744,0.01274
0.1996,0.01259
0.2464,0.01097
0.3228,0.01026
0.3489,0.00996
0.3749,0.00966
0.4013,0.00943
0.4278,0.0093
0.4542,0.00919
0.4809,0.00913
0.5073,0.0091
0.5329,0.00865
0.5584,0.00843
0.5842,0.00829
0.6107,0.00817
0.637,0.00811
0.6899,0.00805
0.7163,0.00805
0.7425,0.00807
0.7692,0.00806
0.7951,0.0081
0.8217,0.0081
0.8473,0.0081
0.8568,0.00684
0.9516,0.0072
0.9675,0.00791
0.9891,0.00822
1.0117,0.00845
1.034,0.00871
1.0561,0.00898
1.0778,0.00926
1.0991,0.00957
1.1186,0.00998
1.1316,0.01082
1.1514,0.01121
1.1715,0.01157
1.1931,0.01182
1.2141,0.0121
1.2346,0.01241
1.249,0.01309
1.2592,0.01401
1.2749,0.01457
1.2903,0.01512
1.3055,0.01566
1.3198,0.01612
1.3325,0.0166
1.3442,0.01716
1.3498,0.0181
1.3614,0.01876
1.3754,0.01932
1.3863,0.02009
1.3973,0.02088
1.4082,0.02172
1.4175,0.02271
1.4238,0.02397
1.4195,0.02611
1.4197,0.02803
1.4283,0.02935
1.4363,0.03074
1.4418,0.0324
1.4464,0.03419
1.4528,0.03584
1.4588,0.03758
1.4604,0.0398
1.4645,0.04184
1.4659,0.0442
1.4661,0.04678
1.4659,0.04948
1.4605,0.05284
1.4497,0.05689
1.4355,0.06137
1.4285,0.06515
1.4263,0.06855
1.4244,0.07198
1.421,0.07567
1.4155,0.07969
1.411,0.08378
1.4026,0.08836
1.3936,0.09316
1.3863,0.09801
1.3775,0.10315
1.3643,0.10911
1.3553,0.11465
1.3438,0.12079
1.3315,0.12721
