Cl,Cd
-1.0682,0.08044
-1.1202,0.06978
-1.1627,0.06025
-1.191,0.05261
-1.21,0.04655
-1.2185,0.04224
-1.2241,0.03863
-1.226,0.03574
-1.2244,0.03342
-1.2214,0.03144
-1.1959,0.02971
-1.1784,0.02758
-1.1799,0.02629
-1.178,0.02515
-1.1732,0.0242
-1.1668,0.02331
-1.1573,0.02261
-1.1471,0.02192
-1.138,0.02124
-1.1307,0.02045
-1.1199,0.01982
-1.1074,0.01931
-1.0929,0.01883
-1.0783,0.01836
-1.0658,0.01781
-1.0507,0.01737
-1.0335,0.01699
-1.0174,0.01657
-1.0006,0.01618
-0.9818,0.01587
-0.9638,0.01551
-0.9451,0.0152
-0.9249,0.01499
-0.9055,0.0147
-0.8849,0.01447
-0.8621,0.01431
-0.8394,0.01405
-0.8163,0.01383
-0.7923,0.01367
-0.7672,0.01353
-0.7446,0.01327
-0.7202,0.01308
-0.6953,0.01294
-0.6696,0.01283
-0.645,0.01266
-0.6208,0.01246
-0.5955,0.01233
-0.5697,0.01222
-0.5436,0.01213
-0.5182,0.012
-0.4933,0.0118
-0.4677,0.0117
-0.4412,0.01159
-0.4146,0.01152
-0.3883,0.01144
-0.3628,0.01125
-0.3363,0.01116
-0.3098,0.01111
-0.2825,0.01102
-0.2566,0.01088
-0.2307,0.01077
-0.2039,0.01069
-0.1766,0.01062
-0.1496,0.01056
-0.1239,0.01047
-0.0968,0.01038
-0.0694,0.01032
-0.0428,0.01024
-0.0164,0.01019
0.0108,0.01017
0.0376,0.01006
0.0646,0.01001
0.0908,0.00994
0.1168,0.00991
0.1432,0.0098
0.1691,0.00967
0.1942,0.00952
0.2188,0.0094
0.243,0.00931
0.2678,0.00918
0.2917,0.00898
0.311,0.00864
0.3294,0.00836
0.345,0.0081
0.3615,0.00795
0.3855,0.00787
0.4152,0.00786
0.449,0.00794
0.483,0.00806
0.5162,0.00824
0.5549,0.00846
0.5839,0.00858
0.6243,0.00876
0.6695,0.00902
0.7066,0.0093
0.7349,0.00956
0.7745,0.00979
0.814,0.00994
0.8542,0.01011
0.893,0.01031
0.9266,0.01051
0.949,0.01077
0.9853,0.01099
1.0227,0.01109
1.0586,0.0112
1.0929,0.01134
1.1255,0.01151
1.1564,0.01174
1.1841,0.01205
1.2102,0.01222
1.2443,0.01231
1.278,0.01243
1.3106,0.01259
1.3419,0.0128
1.3717,0.01306
1.4005,0.01341
1.4202,0.01356
1.4322,0.01376
1.4354,0.01398
1.4294,0.01426
1.4283,0.01469
1.4306,0.01523
1.434,0.01588
1.437,0.01666
1.4465,0.01728
1.4592,0.01781
1.4713,0.01841
1.483,0.01907
1.4931,0.01986
1.5012,0.0208
1.5047,0.02205
1.5172,0.02284
1.5297,0.02365
1.5398,0.02463
1.5453,0.02596
1.5482,0.02748
1.5562,0.02872
1.5662,0.02984
1.5715,0.03138
1.5704,0.03351
1.5735,0.03534
1.5819,0.03679
1.5855,0.03869
1.58,0.04143
1.5802,0.04373
1.5826,0.04587
1.579,0.0486
1.5685,0.05203
1.5693,0.05443
1.5664,0.05723
1.5572,0.06069
1.5453,0.06452
1.5433,0.06734
1.5374,0.0706
1.5192,0.0753
1.5187,0.07804
