Cl,Cd
-0.9362,0.08219
-0.935,0.08007
-0.9342,0.07796
-0.9307,0.07618
-0.9261,0.07452
-0.921,0.07295
-0.9134,0.07165
-0.9039,0.07052
-0.898,0.06915
-0.8909,0.06798
-0.8832,0.06695
-0.8764,0.06585
-0.8704,0.06471
-0.8651,0.06358
-0.8575,0.06268
-0.8494,0.06187
-0.8418,0.06109
-0.8317,0.06053
-0.8234,0.05996
-0.7825,0.05914
-0.7692,0.05846
-0.7566,0.05778
-0.742,0.05721
-0.7281,0.0566
-0.7162,0.05595
-0.7022,0.05546
-0.6861,0.0551
-0.6697,0.05451
-0.6588,0.05359
-0.6447,0.05288
-0.6273,0.0524
-0.6096,0.05195
-0.5965,0.05126
-0.5828,0.05062
-0.5735,0.05027
-0.5616,0.04964
-0.5513,0.04886
-0.5427,0.04799
-0.5406,0.04683
-0.541,0.04556
-0.5382,0.04446
-0.5343,0.04341
-0.5547,0.04316
-0.5554,0.04222
-0.5657,0.04078
-0.5937,0.03867
-0.6028,0.03729
-0.5921,0.03661
-0.6319,0.03682
-0.6253,0.03623
-0.5996,0.03631
-0.5961,0.03542
-0.5638,0.03568
-0.5332,0.03584
-0.5395,0.03452
-0.4951,0.03517
-0.5063,0.03619
-0.486,0.03613
-0.4848,0.03524
-0.4456,0.03574
-0.4095,0.0361
-0.377,0.03631
-0.3483,0.03637
-0.3451,0.03541
-0.3181,0.03534
-0.2841,0.03553
-0.2505,0.03571
-0.2179,0.03587
-0.1857,0.03602
-0.2114,0.03597
-0.1831,0.03602
-0.1522,0.03615
-0.1212,0.03627
-0.0892,0.03642
-0.0566,0.03651
-0.0234,0.03655
0.0124,0.03658
0.0495,0.03654
0.0352,0.03796
0.0676,0.03787
0.0984,0.03777
0.1279,0.03758
0.1213,0.03626
0.1522,0.03614
0.1831,0.03602
0.2114,0.03597
0.2035,0.03727
0.2337,0.0371
0.2638,0.03691
0.2934,0.03669
0.3226,0.03646
0.3505,0.03612
0.3538,0.03507
0.3484,0.03637
0.3771,0.03631
0.4094,0.03611
0.4455,0.03574
0.4846,0.03524
0.4863,0.03611
0.5063,0.03617
0.4953,0.03515
0.5396,0.03451
0.5333,0.03582
0.5639,0.03566
0.5965,0.03539
0.5997,0.03629
0.6252,0.03621
0.6317,0.0368
0.5924,0.03659
0.6033,0.03727
0.5947,0.03863
0.5666,0.04073
0.5563,0.04217
0.5551,0.04311
0.5353,0.04337
0.5389,0.04443
0.542,0.04552
0.5416,0.04679
0.5436,0.04795
0.5522,0.04882
0.5624,0.0496
0.5747,0.05021
0.5842,0.05057
0.5979,0.05121
0.6109,0.0519
0.6288,0.05234
0.6462,0.05282
0.6603,0.05354
0.6714,0.05445
0.688,0.05503
0.704,0.0554
0.7179,0.05589
0.7298,0.05656
0.7443,0.05713
0.7587,0.05771
0.7711,0.05841
0.7851,0.05908
0.8256,0.05989
0.8344,0.06044
0.8444,0.06101
0.8521,0.0618
0.86,0.06263
0.8674,0.06354
0.8732,0.06466
0.8792,0.0658
0.8862,0.06688
0.8939,0.06793
0.9016,0.06906
0.9073,0.07046
0.9169,0.07159
0.9247,0.07288
0.9296,0.07448
0.934,0.07616
0.9381,0.07792
0.939,0.08002
