Cl,Cd
-0.6394,0.05459
-0.6919,0.04404
-0.7192,0.03839
-0.7324,0.0346
-0.7361,0.03185
-0.7327,0.02981
-0.7257,0.02822
-0.719,0.02565
-0.7078,0.02337
-0.6865,0.02261
-0.6634,0.02202
-0.6396,0.02147
-0.6157,0.02085
-0.5915,0.02012
-0.5671,0.01942
-0.5418,0.01875
-0.5153,0.01835
-0.4921,0.01708
-0.4658,0.01656
-0.4384,0.0162
-0.4111,0.0158
-0.3838,0.01536
-0.3559,0.01493
-0.3277,0.01464
-0.3018,0.01373
-0.2737,0.01327
-0.2448,0.013
-0.216,0.01275
-0.1871,0.0125
-0.1576,0.01227
-0.1286,0.01149
-0.0989,0.01119
-0.0691,0.011
-0.039,0.0108
-0.0085,0.01059
0.0226,0.01018
0.0532,0.00999
0.0837,0.00986
0.1148,0.00968
0.1462,0.00946
0.1775,0.00927
0.2095,0.00902
0.2456,0.00832
0.2855,0.00749
0.3278,0.00674
0.3616,0.00659
0.3925,0.00664
0.4228,0.00676
0.4529,0.00685
0.4819,0.00696
0.5126,0.00706
0.5417,0.00713
0.571,0.00724
0.601,0.00729
0.6313,0.00733
0.6618,0.0074
0.6907,0.00748
0.7193,0.00757
0.7484,0.00765
0.7782,0.00773
0.8082,0.00782
0.8381,0.00788
0.8676,0.0079
0.8967,0.00795
0.9256,0.00803
0.9547,0.00812
0.9844,0.00816
1.0137,0.00824
1.0427,0.00836
1.0727,0.0084
1.1021,0.00848
1.1308,0.00858
1.1596,0.00863
1.1874,0.00875
1.2158,0.00884
1.2432,0.009
1.2713,0.00911
1.2986,0.00929
1.3255,0.00949
1.352,0.00973
1.378,0.01001
1.4033,0.01033
1.4273,0.01068
1.4498,0.0111
1.4714,0.01156
1.4916,0.01208
1.509,0.01274
1.5241,0.01348
1.5417,0.01404
1.5583,0.0146
1.5696,0.01521
1.5793,0.01593
1.5908,0.01673
1.6007,0.01763
1.6087,0.01873
1.6155,0.02
1.6266,0.023
1.631,0.02471
1.6343,0.02657
1.6365,0.02858
1.6377,0.03071
1.6367,0.03302
1.6353,0.03542
1.6331,0.03794
1.6303,0.04057
1.6281,0.04326
1.6263,0.04598
1.6249,0.04873
1.6259,0.0513
1.6264,0.054
1.6273,0.05668
1.6258,0.05965
1.629,0.06214
1.6295,0.06497
1.6286,0.06801
1.6261,0.07125
1.6273,0.07413
1.6277,0.07713
1.626,0.08045
1.6224,0.08406
1.6147,0.08821
