Cl,Cd
-0.5097,0.03517
-0.4947,0.0294
-0.4892,0.02383
-0.4821,0.01954
-0.4643,0.01763
-0.4433,0.01629
-0.4209,0.01524
-0.3975,0.0143
-0.3734,0.01353
-0.3486,0.01286
-0.3232,0.01234
-0.2979,0.01176
-0.2723,0.01117
-0.2464,0.01067
-0.2208,0.01007
-0.1949,0.0095
-0.1681,0.00918
-0.1409,0.0089
-0.1137,0.00858
-0.0866,0.00829
-0.059,0.00811
-0.0313,0.00799
-0.0035,0.00783
0.0243,0.00775
0.0519,0.00755
0.0795,0.0074
0.1071,0.00719
0.1342,0.00687
0.161,0.00642
0.1868,0.0058
0.214,0.00559
0.2417,0.00554
0.2696,0.0055
0.2974,0.00551
0.3254,0.00549
0.3534,0.0055
0.3814,0.00549
0.4092,0.00549
0.437,0.00551
0.4648,0.00551
0.4923,0.00554
0.5198,0.00558
0.5475,0.00559
0.575,0.00561
0.6022,0.00563
0.629,0.00566
0.6552,0.00568
0.6809,0.00573
0.7318,0.00598
0.7563,0.00614
0.7798,0.00629
0.8032,0.00644
0.8859,0.00735
0.9102,0.00769
0.9344,0.00804
0.9584,0.0084
0.9829,0.00872
1.0069,0.00906
1.0302,0.00946
1.0533,0.00986
1.0765,0.01024
1.1,0.0106
1.123,0.01097
1.1452,0.0114
1.1669,0.01185
1.1869,0.01243
1.2075,0.01294
1.2266,0.01354
1.2462,0.01408
1.2644,0.0147
1.2817,0.01536
1.296,0.01618
1.3115,0.01677
1.3255,0.01738
1.3395,0.018
1.3527,0.01868
1.3665,0.01932
1.3787,0.02008
1.3897,0.02095
1.4013,0.02178
1.4112,0.02275
1.4214,0.02371
1.4279,0.02498
1.4362,0.02615
1.4414,0.02759
1.4473,0.02904
1.4514,0.03068
1.4513,0.03275
1.4516,0.03488
1.4535,0.03696
1.453,0.03938
1.4502,0.04214
1.447,0.04509
1.4405,0.04859
1.4353,0.05212
1.4292,0.056
1.4194,0.06058
1.4116,0.06517
1.3992,0.0707
1.3899,0.07601
1.3777,0.08207
1.3676,0.08802
1.351,0.09531
1.3401,0.10181
