Cl,Cd
-0.2598,0.09307
-0.2499,0.08905
-0.345,0.02351
-0.3188,0.01938
-0.292,0.0172
-0.2646,0.01566
-0.2364,0.01443
-0.2082,0.01347
-0.1798,0.01269
-0.151,0.012
-0.1221,0.01144
-0.0931,0.01077
-0.0641,0.01019
-0.0349,0.00975
-0.0057,0.00942
0.0235,0.00903
0.0526,0.00867
0.0815,0.00849
0.1107,0.00835
0.1398,0.00818
0.1689,0.00807
0.1979,0.00796
0.2267,0.00788
0.2557,0.00779
0.2846,0.00765
0.3133,0.00761
0.3423,0.00749
0.3713,0.0074
0.4002,0.00731
0.429,0.00724
0.458,0.00716
0.487,0.00708
0.5158,0.00704
0.5445,0.00704
0.5736,0.00699
0.6024,0.00695
0.6312,0.00694
0.6599,0.00692
0.6887,0.00689
0.7174,0.00687
0.746,0.00686
0.7748,0.00682
0.8031,0.00681
0.8318,0.00675
0.8602,0.00664
0.882,0.00539
0.9101,0.00545
0.9377,0.00555
0.9642,0.00574
0.9865,0.0063
1.0086,0.00696
1.0326,0.00743
1.0556,0.00799
1.1044,0.0088
1.1295,0.00912
1.1551,0.00939
1.1804,0.00967
1.2052,0.00998
1.2293,0.01035
1.2519,0.01084
1.273,0.01145
1.2925,0.01219
1.3098,0.01312
1.3302,0.01374
1.3522,0.01421
1.3731,0.01475
1.396,0.01509
1.4172,0.01555
1.4361,0.01621
1.458,0.01653
1.4787,0.01693
1.4982,0.01739
1.5161,0.01794
1.5294,0.01873
1.5423,0.01943
1.5604,0.01982
1.5778,0.02026
1.5947,0.02075
1.6097,0.02139
1.6209,0.0223
1.6278,0.02355
1.644,0.02413
1.6594,0.02479
1.6741,0.02551
1.6887,0.02624
1.7017,0.0271
1.7122,0.02818
1.7154,0.02989
1.727,0.03092
1.7398,0.03187
1.7512,0.03295
1.7617,0.03414
1.7703,0.03549
1.7736,0.03736
1.778,0.03916
1.7862,0.04064
1.7922,0.04235
1.7943,0.04446
1.7894,0.04739
1.7919,0.04964
1.7923,0.05221
1.7902,0.05511
1.7857,0.05844
1.7768,0.06249
1.7629,0.06745
1.7568,0.07152
1.7483,0.07608
1.7381,0.08108
1.7263,0.0865
1.7123,0.09243
1.6962,0.0988
1.679,0.10554
1.661,0.11259
1.642,0.11998
