Cl,Cd
-0.9911,0.1113
-1.0388,0.09733
-1.0651,0.08818
-1.0839,0.08066
-1.099,0.07408
-1.1101,0.06836
-1.1195,0.06314
-1.127,0.05847
-1.1328,0.05427
-1.1367,0.05043
-1.1387,0.04696
-1.1386,0.04379
-1.1364,0.04093
-1.1317,0.03841
-1.1244,0.0362
-1.1148,0.03428
-1.1117,0.03152
-1.1006,0.02969
-1.0858,0.02824
-1.0703,0.02692
-1.0521,0.02559
-1.0245,0.02425
-0.9986,0.0231
-0.9734,0.0221
-0.9488,0.02124
-0.9262,0.02053
-0.9038,0.01988
-0.8848,0.01855
-0.8613,0.01781
-0.8374,0.01718
-0.8136,0.01659
-0.7892,0.01604
-0.763,0.01546
-0.7371,0.01491
-0.7111,0.01446
-0.685,0.01407
-0.6593,0.0134
-0.6316,0.01278
-0.6038,0.01233
-0.5759,0.01193
-0.548,0.01156
-0.52,0.01125
-0.492,0.01085
-0.4635,0.01053
-0.4344,0.01025
-0.4054,0.00991
-0.3764,0.00961
-0.3475,0.00928
-0.3185,0.00889
-0.2894,0.00842
-0.2602,0.00811
-0.2302,0.00771
-0.2002,0.00732
-0.1703,0.00696
-0.1405,0.00664
-0.1106,0.00631
-0.0811,0.00605
-0.0518,0.00588
-0.0218,0.00573
0.0079,0.00564
0.0372,0.00556
0.0659,0.0055
0.0949,0.00542
0.124,0.00536
0.1526,0.00533
0.182,0.00528
0.2109,0.00525
0.2403,0.00525
0.2695,0.00523
0.2986,0.00523
0.3278,0.00526
0.357,0.00526
0.3859,0.0053
0.4147,0.00537
0.4427,0.00551
0.4695,0.00582
0.4925,0.00675
0.517,0.00752
0.5427,0.00809
0.5687,0.00857
0.5956,0.00892
0.6231,0.0092
0.6508,0.00944
0.6785,0.00963
0.7063,0.00981
0.734,0.01
0.7616,0.01021
0.7891,0.01044
0.8166,0.01062
0.8434,0.0109
0.8687,0.01139
0.894,0.01189
0.9201,0.01228
0.9464,0.01261
0.9728,0.01291
0.9989,0.01326
1.025,0.01359
1.0506,0.01398
1.0759,0.01439
1.1015,0.01472
1.1264,0.01514
1.1506,0.01566
1.1756,0.01606
1.2001,0.0165
1.2236,0.01702
1.2447,0.01785
1.2688,0.01826
1.292,0.01877
1.3147,0.01928
1.3368,0.01983
1.3583,0.02042
1.378,0.02117
1.3936,0.02229
1.4148,0.02278
1.4349,0.02335
1.4539,0.02397
1.4721,0.02461
1.4884,0.02521
1.5037,0.02581
1.5189,0.0264
1.5243,0.02703
1.5307,0.02838
1.5476,0.02897
1.5611,0.02981
1.573,0.03078
1.5859,0.03168
1.5975,0.0327
1.607,0.03391
1.6158,0.03519
1.6212,0.03682
1.622,0.0389
1.617,0.04162
1.6182,0.04388
1.6172,0.04646
1.6136,0.04947
1.6083,0.05285
1.5978,0.05715
1.5881,0.06167
1.573,0.06745
1.5496,0.07532
1.5215,0.08493
1.4722,0.0994
1.4183,0.11469
