Cl,Cd
-0.5797,0.08997
-0.583,0.08516
-0.5974,0.07796
-0.5166,0.06673
-0.5445,0.06033
-0.5703,0.05579
-0.5904,0.05177
-0.6526,0.057
-0.7156,0.03631
-0.7404,0.02123
-0.7232,0.01954
-0.7085,0.01689
-0.6869,0.01622
-0.6646,0.01581
-0.6426,0.01515
-0.6109,0.01442
-0.5645,0.01343
-0.5044,0.01289
-0.4606,0.01206
-0.4356,0.01189
-0.4108,0.01161
-0.3856,0.01134
-0.3619,0.0109
-0.3378,0.01061
-0.3133,0.01051
-0.289,0.0105
-0.2655,0.01053
-0.2422,0.01051
-0.217,0.01048
-0.1912,0.01043
-0.1663,0.01021
-0.1401,0.01014
-0.114,0.01005
-0.0882,0.00991
-0.0616,0.00986
-0.0356,0.00975
-0.0096,0.00962
-0.0023,0.008
-0.0004,0.00675
0.0227,0.00668
0.0481,0.00673
0.0737,0.00681
0.1007,0.00691
0.1277,0.00703
0.1547,0.00717
0.1828,0.00727
0.2133,0.00744
0.2391,0.00756
0.2689,0.00771
0.3006,0.00783
0.3325,0.00793
0.3643,0.00803
0.3954,0.00815
0.4247,0.00829
0.4499,0.00846
0.4836,0.00863
0.518,0.00873
0.5519,0.00885
0.5853,0.00898
0.6182,0.00911
0.6506,0.00926
0.6823,0.00944
0.7125,0.00968
0.7393,0.00992
0.7706,0.00999
0.8042,0.0101
0.8376,0.01021
0.8705,0.01032
0.9028,0.01047
0.9341,0.0107
0.9648,0.01092
0.9957,0.011
1.0255,0.01112
1.0583,0.01122
1.0905,0.01138
1.122,0.01163
1.1545,0.01171
1.1864,0.01185
1.2151,0.01209
1.2356,0.01228
1.2559,0.01249
1.2753,0.01278
1.295,0.01305
1.3138,0.01339
1.3323,0.01377
1.3506,0.01416
1.3676,0.01467
1.3855,0.01509
1.4015,0.01568
1.4191,0.01614
1.434,0.01683
1.4415,0.01806
1.4513,0.01908
1.461,0.02005
1.471,0.02095
1.4818,0.02174
1.487,0.02266
1.4866,0.02372
1.4846,0.02512
1.4799,0.02706
1.4794,0.02914
1.4785,0.03169
1.4734,0.03505
1.4598,0.03992
1.4278,0.04815
1.3282,0.06743
1.2607,0.08054
