Cl,Cd
-0.9142,0.08405
-0.9294,0.07694
-0.9406,0.07106
-0.9456,0.06668
-0.9563,0.06175
-0.9648,0.05753
-0.993,0.0507
-1.0076,0.04639
-1.018,0.04285
-1.0299,0.03936
-1.0325,0.03699
-1.0385,0.03431
-1.0398,0.03213
-1.0381,0.03023
-1.0328,0.02872
-1.0272,0.02714
-1.0189,0.02583
-1.0094,0.0246
-0.9989,0.02346
-0.9872,0.02244
-0.9743,0.02149
-0.9591,0.02061
-0.9416,0.01975
-0.9183,0.01897
-0.904,0.01843
-0.8854,0.01797
-0.8709,0.017
-0.8552,0.01609
-0.8352,0.01552
-0.8138,0.01503
-0.791,0.01462
-0.768,0.01418
-0.7441,0.01383
-0.7202,0.01347
-0.6953,0.01315
-0.6725,0.0126
-0.6477,0.01227
-0.6221,0.01198
-0.5961,0.01172
-0.5709,0.01138
-0.5446,0.01115
-0.5186,0.01085
-0.4929,0.01055
-0.4674,0.0102
-0.4424,0.0098
-0.4183,0.00932
-0.3944,0.00879
-0.3703,0.00831
-0.3456,0.00792
-0.3201,0.00758
-0.2943,0.0073
-0.2685,0.00702
-0.2425,0.00678
-0.2161,0.00659
-0.1896,0.00642
-0.1624,0.00631
-0.1349,0.00625
-0.1071,0.0062
-0.079,0.00619
-0.0509,0.0062
-0.0227,0.00621
0.0057,0.00624
0.034,0.00629
0.0628,0.00633
0.0913,0.0064
0.1198,0.00647
0.1485,0.00653
0.177,0.00663
0.2056,0.00669
0.2625,0.00686
0.2909,0.00697
0.3194,0.00705
0.3472,0.00717
0.3755,0.00727
0.4032,0.00739
0.4313,0.00747
0.4593,0.0076
0.4871,0.00771
0.5148,0.00781
0.5422,0.00797
0.5702,0.00808
0.5972,0.00819
0.6238,0.00836
0.6513,0.00846
0.6778,0.0086
0.7034,0.00877
0.7296,0.00889
0.7548,0.00904
0.7797,0.00921
0.8052,0.00934
0.831,0.00953
0.8568,0.0097
0.885,0.00986
0.9149,0.01011
0.9452,0.01031
0.976,0.01052
1.0095,0.01082
1.0436,0.01105
1.0772,0.0113
1.1094,0.01167
1.1413,0.01188
1.1742,0.01218
1.2069,0.01258
1.24,0.01283
1.2649,0.0132
1.2749,0.01349
1.2904,0.01375
1.3062,0.01414
1.3236,0.01454
1.3413,0.01495
1.3564,0.01549
1.3717,0.01596
1.3785,0.01661
1.3888,0.0172
1.3973,0.01798
1.4035,0.01899
1.414,0.01986
1.4212,0.02103
1.4253,0.0225
1.4347,0.02369
1.4406,0.02521
1.4429,0.02711
1.4455,0.0291
1.4506,0.03093
1.452,0.03317
1.4494,0.03588
1.4436,0.03901
1.4432,0.04166
1.4413,0.04453
1.4355,0.04791
1.427,0.05177
1.4143,0.0562
1.4011,0.06085
1.3963,0.06453
1.3862,0.06897
1.3729,0.07392
1.3579,0.07923
1.3412,0.08488
