Cl,Cd
-0.3235,0.10922
-0.8851,0.03145
-0.8847,0.02867
-0.8639,0.02851
-0.8496,0.02722
-0.8225,0.02777
-0.8043,0.02689
-0.7869,0.02579
-0.7713,0.0242
-0.7536,0.0228
-0.7329,0.02181
-0.7137,0.02024
-0.6917,0.01937
-0.6672,0.0192
-0.6423,0.01904
-0.6176,0.01877
-0.5927,0.01844
-0.5676,0.01793
-0.542,0.01767
-0.5165,0.01633
-0.4907,0.01615
-0.4646,0.01591
-0.438,0.01556
-0.4111,0.01518
-0.3846,0.0151
-0.3562,0.01416
-0.3291,0.01383
-0.3018,0.01358
-0.2742,0.01327
-0.2467,0.01303
-0.2193,0.01289
-0.1914,0.01217
-0.1648,0.01172
-0.1381,0.01148
-0.1114,0.0113
-0.085,0.01112
-0.0583,0.0109
-0.0315,0.01074
-0.0069,0.01035
0.0191,0.01014
0.0454,0.00999
0.0718,0.00986
0.0983,0.00976
0.1243,0.00962
0.1504,0.00952
0.1754,0.00939
0.1989,0.00918
0.2147,0.00859
0.2005,0.00711
0.2056,0.00671
0.2319,0.00687
0.2594,0.00703
0.2869,0.00722
0.3157,0.00734
0.3457,0.00755
0.3724,0.00778
0.4028,0.00785
0.4336,0.00808
0.4615,0.00816
0.4893,0.00816
0.517,0.00819
0.5445,0.0082
0.572,0.00816
0.5993,0.00815
0.6265,0.00819
0.6542,0.00815
0.6819,0.00814
0.7095,0.00812
0.7368,0.00813
0.7638,0.00818
0.7913,0.00814
0.8181,0.00811
0.8445,0.00814
0.8717,0.00816
0.8975,0.00823
0.9214,0.00839
0.924,0.00942
0.9185,0.01054
0.9135,0.01122
0.8958,0.01253
0.8655,0.01514
0.8403,0.01806
0.8281,0.02035
0.8167,0.0241
0.831,0.02593
0.8503,0.02735
0.873,0.02847
0.8948,0.02972
0.9156,0.03111
0.9358,0.03264
0.9536,0.03429
0.9753,0.03548
0.9958,0.03674
1.0158,0.03797
1.0339,0.03929
1.0523,0.04068
1.0681,0.0423
1.081,0.0441
1.0948,0.04598
1.1164,0.04721
1.1282,0.04828
1.1394,0.04928
1.1499,0.05047
1.1591,0.05185
1.1655,0.05353
1.1807,0.05441
1.1924,0.05563
1.2005,0.05725
1.2033,0.05935
1.2066,0.06144
1.2102,0.06358
1.214,0.06571
1.2159,0.06806
1.2214,0.07012
1.2262,0.07222
1.2316,0.07428
1.2335,0.07677
1.235,0.07934
1.2341,0.08224
1.2373,0.08468
1.2415,0.087
1.2449,0.08949
1.2467,0.09219
1.2485,0.09492
