Cl,Cd
-0.7853,0.09033
-1.0224,0.04287
-1.0625,0.03695
-1.0731,0.03414
-1.069,0.0322
-1.0772,0.02807
-1.0633,0.0268
-1.0451,0.02613
-1.026,0.02554
-1.0071,0.02477
-0.9887,0.02379
-0.9697,0.02282
-0.9506,0.02179
-0.9312,0.02076
-0.9113,0.01983
-0.8911,0.01905
-0.8706,0.01844
-0.8534,0.0172
-0.8352,0.01635
-0.8153,0.0159
-0.7955,0.01551
-0.7759,0.01516
-0.7566,0.0148
-0.7365,0.01441
-0.7025,0.01392
-0.6691,0.01326
-0.636,0.0125
-0.602,0.01214
-0.5681,0.01177
-0.5328,0.0114
-0.4965,0.01116
-0.4674,0.01052
-0.4352,0.01023
-0.4069,0.00997
-0.3787,0.00976
-0.3534,0.00937
-0.3276,0.00918
-0.3015,0.00903
-0.2755,0.00887
-0.2499,0.00866
-0.2235,0.00857
-0.1972,0.00845
-0.171,0.00839
-0.1448,0.00835
-0.1181,0.00827
-0.0975,0.00727
-0.0752,0.00658
-0.0509,0.00625
-0.0254,0.00605
0.0005,0.00594
0.0265,0.00584
0.0526,0.00582
0.0789,0.00582
0.1052,0.00583
0.1315,0.00587
0.1575,0.00593
0.1843,0.00604
0.2111,0.00618
0.2378,0.00634
0.2645,0.00649
0.2912,0.00668
0.318,0.00686
0.3728,0.0073
0.4002,0.00753
0.4311,0.00776
0.4637,0.00799
0.4948,0.00819
0.5291,0.0084
0.5655,0.00859
0.601,0.00882
0.6363,0.00896
0.6703,0.00916
0.7028,0.00942
0.7386,0.00955
0.774,0.0097
0.8086,0.0099
0.8423,0.01021
0.8722,0.01032
0.8949,0.01045
0.9173,0.01061
0.9394,0.01081
0.9602,0.01113
0.9832,0.01125
1.006,0.0114
1.0286,0.01159
1.0507,0.01184
1.0723,0.01215
1.0958,0.0123
1.119,0.01251
1.1415,0.01277
1.1634,0.01313
1.1874,0.01332
1.2108,0.01359
1.2332,0.01395
1.2565,0.01426
1.2799,0.01456
1.302,0.01498
1.3245,0.01536
1.3469,0.01574
1.3673,0.01628
1.3894,0.01667
1.4094,0.01721
1.429,0.01776
1.4482,0.01832
1.4652,0.01902
1.483,0.0196
1.4964,0.02041
1.5096,0.02108
1.5203,0.02192
1.5287,0.02295
1.5397,0.02386
1.547,0.02507
1.551,0.02662
1.5593,0.02793
1.5641,0.02963
1.5652,0.03181
1.5623,0.03458
1.565,0.03697
1.5634,0.03999
1.5574,0.04374
1.5466,0.04833
1.5301,0.0539
1.5076,0.06056
1.4796,0.06822
1.4465,0.07683
1.4091,0.08637
1.3673,0.0968
1.3252,0.10755
