Cl,Cd
-0.8523,0.03757
-0.8601,0.03067
-0.855,0.0266
-0.8389,0.02485
-0.8199,0.02379
-0.8012,0.02264
-0.7832,0.0213
-0.7655,0.01988
-0.7471,0.01859
-0.728,0.01749
-0.708,0.0166
-0.6871,0.01595
-0.6705,0.01379
-0.6492,0.01309
-0.6271,0.01262
-0.5952,0.01217
-0.5616,0.01178
-0.5285,0.0108
-0.4933,0.01035
-0.4591,0.01008
-0.4258,0.00958
-0.3914,0.00944
-0.3562,0.00942
-0.3216,0.00891
-0.2881,0.00874
-0.2559,0.00859
-0.2227,0.00847
-0.1916,0.008
-0.1628,0.00774
-0.1331,0.00752
-0.106,0.00734
-0.0784,0.00715
-0.0517,0.00686
-0.0252,0.00658
0.0015,0.00635
0.0283,0.00615
0.0551,0.00597
0.0819,0.00579
0.1087,0.0056
0.1353,0.00534
0.1615,0.00502
0.1875,0.00475
0.2123,0.00444
0.2341,0.00419
0.2592,0.00417
0.2995,0.0043
0.3336,0.00448
0.3593,0.00464
0.3851,0.00481
0.4108,0.00501
0.4368,0.00521
0.4629,0.00541
0.4888,0.00566
0.5148,0.00593
0.5404,0.00625
0.5646,0.0068
0.5883,0.00746
0.6121,0.00813
0.637,0.00865
0.6631,0.00897
0.6898,0.00919
0.7165,0.00942
0.7431,0.00965
0.7695,0.00992
0.7956,0.01023
0.8213,0.01059
0.8465,0.01104
0.8697,0.01179
0.8961,0.01199
0.9227,0.01216
0.9491,0.01235
0.9752,0.01258
1.0008,0.01286
1.0235,0.01358
1.0508,0.0136
1.0773,0.01372
1.0995,0.01449
1.1243,0.01484
1.1483,0.01527
1.1718,0.01576
1.1912,0.01681
1.2107,0.0178
1.2331,0.01836
1.2545,0.01902
1.2753,0.01972
1.2952,0.0205
1.3133,0.02144
1.3251,0.02309
1.3301,0.02552
1.3452,0.02657
1.3576,0.02781
1.3658,0.02918
1.3699,0.0307
1.3719,0.03238
1.3714,0.03437
1.3699,0.03655
1.3655,0.03921
1.3592,0.04231
1.3513,0.04592
1.3399,0.05038
1.3277,0.05541
1.3111,0.06165
1.2908,0.06902
1.2658,0.0778
1.2337,0.08851
1.1937,0.10179
1.148,0.11729
