Cl,Cd
-0.446,0.092
-0.4485,0.08689
-0.465,0.08013
-0.4661,0.07695
-0.4606,0.0739
-0.4532,0.07085
-0.4443,0.06783
-0.3634,0.05561
-0.3641,0.05067
-0.4127,0.05592
-0.4268,0.04004
-0.4083,0.03871
-0.389,0.03725
-0.3689,0.03578
-0.3481,0.03435
-0.3581,0.02006
-0.3352,0.01836
-0.3092,0.01769
-0.2839,0.01667
-0.2584,0.01537
-0.2322,0.01426
-0.2052,0.01342
-0.1779,0.01278
-0.1505,0.01229
-0.1228,0.01182
-0.0952,0.01144
-0.0676,0.01112
-0.0398,0.01081
-0.012,0.01055
0.0157,0.01031
0.0434,0.01009
0.0714,0.00987
0.0994,0.0097
0.1267,0.00949
0.1543,0.00922
0.1823,0.00907
0.2102,0.00898
0.2386,0.00887
0.2667,0.00877
0.2947,0.0087
0.3224,0.00851
0.3497,0.00835
0.3771,0.0082
0.4027,0.00784
0.4087,0.00612
0.4386,0.00625
0.4696,0.00644
0.5141,0.00665
0.5515,0.00686
0.6098,0.00712
0.6553,0.00729
0.6967,0.00746
0.7373,0.00755
0.7708,0.00764
0.8024,0.00769
0.8336,0.00779
0.8649,0.00784
0.8962,0.00793
0.9276,0.00802
0.9592,0.0081
0.9854,0.00823
1.0112,0.00829
1.0365,0.00845
1.0621,0.00854
1.087,0.00869
1.1113,0.00889
1.1351,0.0091
1.1585,0.00935
1.1814,0.00962
1.2035,0.00994
1.2244,0.01036
1.2448,0.01078
1.2629,0.01136
1.2765,0.01222
1.283,0.01347
1.2938,0.01429
1.2957,0.0155
1.2991,0.01647
1.3046,0.01723
1.3087,0.01788
1.3096,0.01857
1.3166,0.01939
1.3233,0.02047
1.3324,0.02158
1.3429,0.02271
1.3524,0.02401
1.3599,0.02555
1.3632,0.02757
1.3688,0.02944
1.3764,0.03119
1.3824,0.03313
1.3873,0.0352
1.3913,0.03739
1.3939,0.03975
1.3935,0.04243
1.3892,0.04558
1.3802,0.04932
1.3761,0.05266
1.3769,0.05551
1.3767,0.0585
1.3755,0.06167
1.374,0.06494
1.3717,0.06834
1.3691,0.07183
1.3659,0.07546
1.3625,0.07916
1.3592,0.08286
1.3555,0.08662
1.351,0.09058
1.346,0.09464
1.3405,0.09875
1.3334,0.10312
1.3247,0.10769
