Cl,Cd
-1.2614,0.0857
-1.2661,0.08152
-1.2695,0.07761
-1.2717,0.07395
-1.273,0.07043
-1.2734,0.06707
-1.2727,0.06395
-1.27,0.06112
-1.2669,0.05836
-1.2626,0.05579
-1.257,0.05343
-1.2511,0.05114
-1.2432,0.04909
-1.2409,0.04658
-1.2378,0.04422
-1.2324,0.04206
-1.2239,0.04026
-1.2148,0.03853
-1.2039,0.037
-1.1928,0.03552
-1.1812,0.03413
-1.1687,0.03284
-1.1559,0.03157
-1.1416,0.03044
-1.1265,0.02937
-1.1104,0.02836
-1.1012,0.02684
-1.0877,0.02564
-1.0679,0.02465
-1.0441,0.02374
-1.0254,0.02293
-1.0097,0.02222
-0.9935,0.02157
-0.976,0.02088
-0.9629,0.01989
-0.9447,0.01911
-0.9253,0.01847
-0.9047,0.01788
-0.8835,0.01733
-0.861,0.01682
-0.8391,0.01606
-0.8143,0.01553
-0.7876,0.01506
-0.7603,0.01467
-0.7341,0.01408
-0.7071,0.0137
-0.6797,0.0134
-0.6526,0.013
-0.6245,0.01267
-0.5962,0.01236
-0.5679,0.01203
-0.5393,0.01175
-0.5106,0.01146
-0.4819,0.01119
-0.4528,0.01098
-0.4236,0.01073
-0.3942,0.01047
-0.3646,0.01022
-0.3348,0.00998
-0.305,0.00974
-0.2752,0.00947
-0.2453,0.00919
-0.2152,0.00887
-0.1849,0.00848
-0.1542,0.00798
-0.1229,0.00731
-0.091,0.00656
-0.06,0.00631
-0.0296,0.00621
0.0007,0.00618
0.0309,0.00614
0.0605,0.00606
0.0902,0.00603
0.1201,0.00605
0.1504,0.00603
0.1804,0.00603
0.2103,0.00607
0.2397,0.00616
0.2674,0.00633
0.2895,0.00703
0.3104,0.00793
0.333,0.00862
0.3573,0.00916
0.3832,0.00957
0.4102,0.00987
0.4378,0.01012
0.4657,0.01033
0.4939,0.01051
0.5222,0.01069
0.5502,0.01089
0.5783,0.01108
0.6063,0.01122
0.6338,0.01141
0.6617,0.01158
0.6891,0.0118
0.7162,0.01204
0.7436,0.01225
0.7702,0.01253
0.7974,0.01276
0.8241,0.01301
0.8502,0.01326
0.8763,0.01353
0.9026,0.01378
0.9286,0.01405
0.9543,0.01433
0.9795,0.01465
1.0039,0.01502
1.0271,0.01548
1.0521,0.01574
1.0763,0.01605
1.1001,0.01639
1.1233,0.01675
1.1458,0.01713
1.1664,0.01751
1.1863,0.01791
1.2068,0.01836
1.2274,0.01881
1.247,0.01931
1.2658,0.01987
1.2832,0.02052
1.2992,0.02129
1.3137,0.02219
1.3308,0.02289
1.3484,0.02353
1.366,0.02417
1.3826,0.02487
1.3988,0.02562
1.4146,0.02641
1.4295,0.02726
1.4444,0.02813
1.4584,0.02907
1.4722,0.03002
1.4856,0.03099
1.4982,0.03204
1.5107,0.03312
1.5219,0.0343
1.5326,0.03554
1.5428,0.03686
1.5522,0.03823
1.5609,0.03967
1.5685,0.04124
1.576,0.04285
1.5822,0.04459
