Cl,Cd
-1.1438,0.12886
-1.1563,0.12248
-1.1681,0.11632
-1.1795,0.11037
-1.1903,0.10464
-1.2001,0.09911
-1.2093,0.09381
-1.2176,0.08879
-1.2248,0.08396
-1.231,0.0794
-1.2364,0.07509
-1.2405,0.07099
-1.2437,0.06711
-1.2461,0.06345
-1.2473,0.05998
-1.2477,0.05672
-1.2467,0.05369
-1.2445,0.05088
-1.2413,0.04831
-1.2372,0.0459
-1.2406,0.04285
-1.2438,0.03984
-1.242,0.03734
-1.2373,0.03516
-1.2304,0.03321
-1.2226,0.03139
-1.2147,0.02965
-1.2077,0.02799
-1.2048,0.02644
-1.2005,0.02498
-1.1911,0.02363
-1.1781,0.02243
-1.1617,0.02139
-1.1437,0.02053
-1.1284,0.01908
-1.1089,0.01816
-1.0877,0.01747
-1.0655,0.01689
-1.0428,0.01634
-1.012,0.01581
-0.9803,0.01527
-0.9486,0.01449
-0.9165,0.01401
-0.8843,0.01363
-0.8518,0.01304
-0.819,0.01266
-0.786,0.01218
-0.7527,0.01178
-0.7207,0.01135
-0.6889,0.01087
-0.6565,0.01041
-0.6241,0.01004
-0.5914,0.00973
-0.5585,0.00943
-0.5252,0.00915
-0.4916,0.00884
-0.4576,0.0085
-0.4234,0.00807
-0.389,0.00748
-0.3546,0.00703
-0.3203,0.00678
-0.2859,0.00661
-0.2514,0.00648
-0.2223,0.00643
-0.1906,0.00637
-0.1579,0.00632
-0.1251,0.00627
-0.0923,0.00623
-0.0594,0.00618
-0.0265,0.00616
0.008,0.00607
0.0374,0.00598
0.0649,0.00581
0.0896,0.00568
0.1163,0.00564
0.1438,0.00561
0.1708,0.00556
0.1976,0.00559
0.2222,0.00585
0.2331,0.00827
0.2583,0.00898
0.2855,0.00936
0.3138,0.00954
0.3421,0.00974
0.3705,0.00992
0.3989,0.01006
0.4266,0.01033
0.455,0.01049
0.4831,0.01067
0.5111,0.01087
0.538,0.01127
0.5659,0.01147
0.5937,0.01169
0.6213,0.01194
0.6489,0.01218
0.675,0.0127
0.7021,0.01301
0.7295,0.01328
0.7566,0.0136
0.7836,0.01392
0.8105,0.01423
0.8358,0.01494
0.8618,0.01553
0.8887,0.01584
0.9153,0.0162
0.9417,0.01659
0.9679,0.01698
0.994,0.01739
1.0193,0.01794
1.042,0.01936
1.0674,0.01985
1.0921,0.02052
1.1162,0.02131
1.1396,0.02216
1.1627,0.02301
1.1854,0.02387
1.2078,0.02466
1.2297,0.02547
1.2516,0.02617
1.2729,0.02688
1.2912,0.02812
1.2972,0.03143
1.3115,0.03302
1.3199,0.03537
1.3151,0.03933
0.6645,0.13141
