Cl,Cd
-0.7973,0.11481
-0.8267,0.10389
-0.8474,0.0952
-0.8643,0.0875
-0.8812,0.08002
-0.8979,0.07293
-0.9224,0.06472
-0.9479,0.05655
-0.9703,0.04841
-0.9698,0.0395
-0.9466,0.02949
-0.923,0.02477
-0.8958,0.02293
-0.8677,0.02171
-0.8393,0.02073
-0.8104,0.01981
-0.7812,0.01889
-0.7516,0.01801
-0.7219,0.01736
-0.6906,0.01566
-0.66,0.01495
-0.6295,0.0144
-0.5973,0.01389
-0.5655,0.01353
-0.5359,0.0127
-0.5086,0.01235
-0.4813,0.01209
-0.4535,0.01189
-0.4237,0.01128
-0.3952,0.01103
-0.3661,0.01083
-0.3361,0.01038
-0.307,0.0102
-0.2767,0.00985
-0.2472,0.00967
-0.2171,0.00938
-0.1869,0.00913
-0.1569,0.00891
-0.1268,0.00868
-0.0966,0.00846
-0.0667,0.0083
-0.0366,0.00814
-0.0066,0.00799
0.0233,0.0079
0.0532,0.00781
0.0831,0.00773
0.113,0.00766
0.1429,0.00759
0.1727,0.00754
0.2026,0.00747
0.2324,0.00744
0.2622,0.00739
0.292,0.00736
0.3216,0.00735
0.3514,0.00731
0.381,0.00732
0.4107,0.0073
0.4403,0.0073
0.4699,0.00732
0.4996,0.0073
0.5291,0.00732
0.5586,0.00733
0.6176,0.00737
0.6472,0.00737
0.6767,0.00739
0.7061,0.00741
0.7351,0.00747
0.7643,0.00754
0.7934,0.00762
0.8226,0.00771
0.8517,0.00782
0.8807,0.00797
0.9091,0.00804
0.9294,0.00815
0.955,0.00941
0.9804,0.01053
1.0069,0.01125
1.034,0.01174
1.0613,0.01215
1.0885,0.01251
1.1157,0.01287
1.1424,0.01329
1.1692,0.01367
1.1959,0.01402
1.2213,0.0146
1.2473,0.01499
1.2733,0.01537
1.2987,0.0158
1.322,0.01654
1.3456,0.01717
1.37,0.01763
1.3937,0.01816
1.417,0.01869
1.4396,0.01927
1.4564,0.02048
1.4761,0.02128
1.4968,0.0219
1.5162,0.02261
1.5342,0.02337
1.5512,0.02415
1.5669,0.02495
1.581,0.02581
1.5924,0.02681
1.5956,0.02818
1.5931,0.03031
1.5929,0.03251
1.6038,0.03365
1.6125,0.03508
1.6207,0.03661
1.6268,0.03839
1.6315,0.0404
1.6353,0.04255
1.6384,0.0448
1.6406,0.04723
1.642,0.04981
1.6421,0.05258
1.6415,0.0555
1.6392,0.05873
1.6359,0.06213
1.6316,0.06576
1.6256,0.0698
1.6179,0.07426
1.6072,0.07929
1.5944,0.08487
1.5797,0.091
1.5626,0.09779
1.5421,0.10544
1.5214,0.11351
1.5019,0.12174
1.4785,0.13113
1.4586,0.14023
1.4381,0.15
1.4146,0.16112
1.3824,0.17552
