Cl,Cd
-0.4688,0.09276
-0.4818,0.08474
-0.8314,0.02802
-0.8209,0.0253
-0.8044,0.0235
-0.7861,0.02191
-0.7735,0.0187
-0.7546,0.01698
-0.7316,0.01616
-0.7075,0.01553
-0.6828,0.01502
-0.6575,0.0146
-0.6312,0.01436
-0.6102,0.01312
-0.5836,0.01294
-0.5571,0.01274
-0.5293,0.0127
-0.5053,0.01201
-0.4775,0.01195
-0.449,0.01201
-0.4236,0.01154
-0.3987,0.01098
-0.3718,0.01077
-0.3449,0.01055
-0.3179,0.01035
-0.2905,0.01023
-0.2647,0.00975
-0.2379,0.00941
-0.2105,0.00919
-0.1829,0.009
-0.1552,0.00884
-0.1279,0.00859
-0.1045,0.00769
-0.0839,0.0063
-0.0586,0.00593
-0.0302,0.00598
-0.0017,0.00607
0.0269,0.00611
0.0557,0.00618
0.0841,0.00623
0.1128,0.00633
0.1413,0.00632
0.1701,0.00633
0.199,0.00634
0.2279,0.00635
0.2569,0.00637
0.2857,0.00642
0.3145,0.00635
0.3429,0.00619
0.3713,0.00605
0.3998,0.006
0.4286,0.00597
0.457,0.00596
0.4856,0.00594
0.5137,0.00595
0.5407,0.00606
0.5527,0.00792
0.5723,0.00887
0.5929,0.00967
0.6138,0.01035
0.6391,0.01061
0.6639,0.01092
0.6886,0.01123
0.7142,0.01143
0.739,0.01171
0.7626,0.01209
0.7876,0.01233
0.8092,0.01283
0.8326,0.01316
0.8546,0.01361
0.8706,0.01459
0.8927,0.01502
0.914,0.01549
0.9342,0.016
0.9535,0.0166
0.9723,0.01726
0.9886,0.0182
1.0015,0.01982
1.0182,0.02165
1.036,0.02275
1.0519,0.02331
1.067,0.02471
1.0801,0.02568
1.0905,0.02746
1.0972,0.02931
1.099,0.0315
1.0969,0.03326
1.0691,0.04091
1.0234,0.04866
0.9871,0.05527
0.9553,0.06157
0.9251,0.06836
0.8954,0.07604
0.8708,0.08433
0.8043,0.08376
