Cl,Cd
-0.4827,0.0798
-0.6426,0.07654
-0.6837,0.06516
-0.7106,0.05776
-0.7274,0.05074
-0.7487,0.04545
-0.719,0.03937
-0.6592,0.03393
-0.6439,0.03169
-0.6443,0.03032
-0.6444,0.02873
-0.6399,0.02761
-0.6339,0.02666
-0.6271,0.02569
-0.6194,0.02455
-0.609,0.02372
-0.5981,0.02307
-0.5862,0.02211
-0.5741,0.02134
-0.5629,0.02
-0.5491,0.01924
-0.5375,0.01838
-0.5224,0.01779
-0.5082,0.01717
-0.4936,0.01665
-0.4777,0.01617
-0.4624,0.01567
-0.4467,0.01524
-0.4316,0.01485
-0.4168,0.01451
-0.3991,0.01424
-0.3802,0.01396
-0.3647,0.01342
-0.3465,0.01303
-0.3262,0.01276
-0.3049,0.01249
-0.2827,0.01222
-0.26,0.01199
-0.2389,0.01166
-0.2161,0.01144
-0.1937,0.01119
-0.1719,0.01093
-0.151,0.0106
-0.1281,0.01033
-0.1048,0.01007
-0.0809,0.00985
-0.0573,0.00962
-0.034,0.00935
-0.0123,0.00899
0.0084,0.00856
0.0274,0.00802
0.0466,0.00747
0.066,0.00697
0.0919,0.00689
0.1201,0.00693
0.1488,0.00698
0.1773,0.00704
0.2062,0.00712
0.2348,0.00716
0.2635,0.00724
0.2923,0.00733
0.3207,0.00739
0.3492,0.00751
0.3779,0.00767
0.4067,0.00777
0.4355,0.00786
0.464,0.00791
0.4925,0.00795
0.5211,0.00799
0.5498,0.00804
0.5782,0.00806
0.6064,0.00805
0.6347,0.00808
0.6629,0.00811
0.6914,0.00818
0.7208,0.00832
0.7483,0.00831
0.7758,0.00832
0.8033,0.00833
0.8309,0.00834
0.8585,0.00835
0.8859,0.00839
0.9143,0.00852
0.9402,0.00847
0.9662,0.00844
0.9922,0.00843
1.0182,0.00845
1.044,0.00853
1.0694,0.00852
1.0946,0.00853
1.1185,0.0086
1.1436,0.00862
1.1675,0.00867
1.1902,0.00875
1.21,0.00887
1.2267,0.00897
1.2387,0.0092
1.2433,0.00967
1.2453,0.01027
1.2445,0.01099
1.2456,0.0117
1.2433,0.01254
1.2393,0.0135
1.2362,0.01456
1.2294,0.01592
1.2246,0.01733
1.2203,0.01884
1.2168,0.02046
1.212,0.02218
1.211,0.02378
1.2052,0.02564
1.2119,0.02725
1.2296,0.02956
1.2312,0.03145
1.235,0.0332
1.2381,0.03506
1.2443,0.0367
1.2485,0.03852
1.2544,0.04024
1.26,0.04201
1.2652,0.04383
1.2713,0.04562
1.2771,0.04744
1.2832,0.0493
1.2888,0.05119
1.2946,0.05311
1.3008,0.05501
1.3057,0.05706
1.3114,0.05909
1.3152,0.06131
1.3216,0.06329
1.3236,0.06578
1.3287,0.06797
1.3307,0.07054
1.3319,0.07325
1.3346,0.07581
1.3337,0.07884
1.3351,0.08169
1.3346,0.08479
1.3346,0.08791
