Cl,Cd
-0.8513,0.11092
-0.9059,0.09604
-0.9326,0.08718
-0.9651,0.07771
-0.9854,0.07081
-1.001,0.06489
-1.0133,0.05961
-1.0223,0.05489
-1.0257,0.05108
-1.0311,0.04716
-1.0332,0.04386
-1.0327,0.04106
-1.0348,0.03818
-1.034,0.03587
-1.0292,0.03425
-1.0295,0.03236
-1.0264,0.03108
-1.0321,0.02928
-1.0308,0.02849
-1.0317,0.02796
-1.0301,0.02733
-1.0223,0.02678
-1.0139,0.02628
-1.0187,0.02392
-0.9899,0.02288
-0.9587,0.02229
-0.9275,0.0216
-0.8987,0.02099
-0.869,0.02034
-0.8384,0.01959
-0.8077,0.01908
-0.7802,0.01869
-0.7544,0.01703
-0.7307,0.01608
-0.6983,0.01538
-0.6649,0.01473
-0.6262,0.01417
-0.5872,0.01361
-0.5512,0.01306
-0.5178,0.0126
-0.4877,0.01226
-0.4628,0.01187
-0.4409,0.01124
-0.419,0.01082
-0.3948,0.0105
-0.3713,0.0102
-0.3467,0.00996
-0.3221,0.00972
-0.2973,0.00951
-0.272,0.00932
-0.2468,0.00914
-0.2221,0.00892
-0.197,0.00873
-0.1718,0.00855
-0.1481,0.00825
-0.1227,0.00808
-0.0974,0.00792
-0.0727,0.0077
-0.0495,0.00734
-0.025,0.00712
-0.0007,0.00687
0.0236,0.00669
0.0494,0.00655
0.075,0.00645
0.1014,0.00636
0.1272,0.00626
0.153,0.00615
0.1787,0.00605
0.2043,0.00598
0.2302,0.0059
0.2558,0.00587
0.2823,0.00582
0.3081,0.0058
0.3345,0.00577
0.3854,0.00572
0.4101,0.0057
0.4342,0.0057
0.4582,0.00572
0.4815,0.00577
0.5039,0.00585
0.5248,0.006
0.5493,0.00617
0.6488,0.00668
0.689,0.00687
0.7225,0.00705
0.7579,0.00725
0.7952,0.00748
0.8208,0.00806
0.8383,0.00841
0.8574,0.00869
0.8764,0.00898
0.8899,0.00958
0.9036,0.01017
0.9214,0.01055
0.9404,0.01088
0.9606,0.01114
0.9798,0.01147
1.0006,0.0117
1.0199,0.01201
1.0399,0.01227
1.0599,0.01253
1.0783,0.01287
1.098,0.01313
1.1165,0.01342
1.1315,0.01377
1.1485,0.01405
1.1624,0.01448
1.1724,0.01515
1.1834,0.01582
1.1973,0.01638
1.2103,0.01701
1.2229,0.0177
1.2374,0.01829
1.2511,0.01897
1.2644,0.01968
1.2759,0.02054
1.2816,0.02183
1.2946,0.02265
1.3069,0.02354
1.3176,0.02458
1.3284,0.02564
1.3367,0.02691
1.3451,0.02821
1.3529,0.02961
1.3553,0.03149
1.3518,0.03397
1.3505,0.03635
1.3554,0.03825
1.3653,0.03972
1.3651,0.0422
1.3654,0.04473
1.3667,0.04727
1.3666,0.05004
1.3686,0.05264
1.3637,0.05616
1.3625,0.05936
1.3588,0.06296
1.3533,0.0669
1.3456,0.07129
1.339,0.07564
1.3334,0.07994
1.3232,0.08496
1.3146,0.08984
1.3,0.0957
1.289,0.10107
