Cl,Cd
-0.577,0.08293
-0.5846,0.07681
-0.6827,0.03455
-0.6716,0.03037
-0.6646,0.02502
-0.6451,0.02283
-0.5835,0.01598
-0.5586,0.01501
-0.5325,0.0145
-0.5061,0.01394
-0.4797,0.01331
-0.4533,0.01275
-0.4267,0.01225
-0.3998,0.01178
-0.3728,0.01138
-0.3458,0.01104
-0.3204,0.01029
-0.2933,0.00995
-0.2659,0.00969
-0.2384,0.0095
-0.2109,0.00921
-0.1834,0.00894
-0.1556,0.00878
-0.1281,0.00854
-0.1004,0.00831
-0.0727,0.00816
-0.0446,0.00801
-0.0167,0.00791
0.0116,0.00779
0.0397,0.0077
0.0678,0.00758
0.0958,0.00744
0.1194,0.00661
0.1397,0.00563
0.1588,0.005
0.1865,0.00488
0.2243,0.00496
0.2603,0.00506
0.2974,0.00517
0.3365,0.00528
0.3754,0.00539
0.4131,0.00553
0.4513,0.00569
0.4896,0.0062
0.5243,0.00684
0.5506,0.00717
0.5766,0.00739
0.6025,0.00758
0.6282,0.00776
0.6537,0.00793
0.6791,0.00812
0.7044,0.00827
0.7296,0.00845
0.7548,0.00861
0.7797,0.00881
0.8049,0.00896
0.8295,0.0092
0.8547,0.00935
0.8795,0.00955
0.904,0.00979
0.929,0.00996
0.9534,0.0102
0.978,0.01042
1.0026,0.01064
1.0264,0.01095
1.0511,0.01114
1.0751,0.01142
1.0989,0.01172
1.1227,0.01199
1.1458,0.01234
1.1692,0.01266
1.192,0.01304
1.2148,0.01341
1.2372,0.01384
1.2593,0.01429
1.2812,0.01475
1.3018,0.01533
1.323,0.01585
1.3428,0.01648
1.3614,0.01719
1.3806,0.01783
1.3981,0.01859
1.4138,0.01946
1.4298,0.02024
1.4407,0.02121
1.4517,0.02216
1.4585,0.02354
1.4698,0.02465
1.4794,0.02596
1.4866,0.02755
1.488,0.02974
1.4954,0.0314
1.5017,0.0332
1.506,0.03523
1.5086,0.03748
1.5088,0.04005
1.5064,0.04297
1.5005,0.0464
1.4909,0.0504
1.4773,0.05511
1.4612,0.0605
1.4421,0.06677
1.4203,0.07384
1.3962,0.0818
1.3703,0.0904
1.3426,0.09948
1.313,0.10886
1.2825,0.11842
