Cl,Cd
-0.4981,0.08256
-0.5032,0.07765
-0.511,0.07241
-0.5253,0.06689
-0.5446,0.06163
-0.557,0.05577
-0.5685,0.05019
-0.5777,0.04544
-0.5697,0.0399
-0.4497,0.01575
-0.4185,0.01335
-0.385,0.01205
-0.3535,0.01118
-0.325,0.01051
-0.2922,0.00996
-0.2578,0.00943
-0.2228,0.00874
-0.1865,0.00839
-0.1595,0.00799
-0.1267,0.00747
-0.0926,0.00711
-0.0646,0.00676
-0.0312,0.00629
0.0275,0.00523
0.0556,0.00474
0.0821,0.00436
0.1093,0.00433
0.1361,0.00435
0.1625,0.00441
0.1889,0.00449
0.215,0.00457
0.2412,0.00466
0.2675,0.00477
0.2935,0.00487
0.32,0.00497
0.3462,0.00508
0.3726,0.00518
0.3989,0.0053
0.4249,0.00541
0.4512,0.00553
0.4768,0.00565
0.529,0.00593
0.5553,0.00609
0.5812,0.00625
0.6067,0.00642
0.6319,0.00665
0.657,0.00683
0.6808,0.00712
0.7039,0.00741
0.7262,0.00767
0.7501,0.00792
0.7816,0.00833
0.8089,0.00877
0.8339,0.00918
0.8584,0.00962
0.8825,0.01011
0.9051,0.01076
0.9289,0.01129
0.9531,0.01174
0.9762,0.01236
1.0007,0.01274
1.0248,0.01318
1.048,0.01368
1.0707,0.01424
1.0927,0.01484
1.1101,0.01596
1.1267,0.01712
1.1491,0.0176
1.1701,0.01823
1.1901,0.01892
1.2102,0.01955
1.2307,0.02009
1.248,0.02091
1.2468,0.02367
1.265,0.02422
1.2813,0.02483
1.2928,0.02563
1.2994,0.0268
1.308,0.02775
1.3156,0.02877
1.3215,0.02995
1.3267,0.03121
1.3288,0.03281
1.327,0.03488
1.3322,0.03634
1.323,0.03951
1.3124,0.04313
1.2983,0.04758
1.2838,0.05259
1.2632,0.059
1.2272,0.06863
1.2276,0.07263
1.2112,0.07992
1.193,0.08794
