Cl,Cd
-0.6952,0.06223
-0.7359,0.05086
-0.7652,0.04452
-0.782,0.04144
-0.8159,0.03883
-0.8329,0.03571
-0.839,0.03312
-0.8178,0.02991
-0.792,0.02769
-0.7625,0.02637
-0.7469,0.02149
-0.7191,0.02029
-0.6886,0.01952
-0.6574,0.01864
-0.6255,0.01772
-0.5932,0.01672
-0.5601,0.01583
-0.5349,0.01504
-0.5044,0.01447
-0.474,0.01323
-0.442,0.01222
-0.4081,0.01165
-0.3736,0.01114
-0.3384,0.01066
-0.315,0.01024
-0.2824,0.00985
-0.2484,0.00935
-0.2134,0.00894
-0.1776,0.00861
-0.1495,0.0081
-0.1192,0.00768
-0.0846,0.00733
-0.0486,0.00696
-0.0204,0.00665
0.0151,0.00625
0.0469,0.0059
0.081,0.00549
0.1104,0.00512
0.1404,0.00502
0.1697,0.00497
0.1982,0.00497
0.2261,0.00499
0.2535,0.00502
0.2805,0.00507
0.3073,0.00513
0.3338,0.00518
0.3866,0.00534
0.4128,0.00542
0.439,0.00552
0.4652,0.00561
0.4911,0.00572
0.5175,0.00583
0.5433,0.00595
0.5694,0.00606
0.5954,0.00621
0.6213,0.00633
0.6472,0.00648
0.6988,0.0068
0.7243,0.00698
0.7496,0.00717
0.775,0.00735
0.8002,0.00754
0.8248,0.00775
0.8489,0.00798
0.8722,0.00821
0.8937,0.00837
0.9167,0.00853
0.9411,0.00891
0.9651,0.00932
0.9889,0.00974
1.0122,0.0102
1.0355,0.01065
1.0588,0.01109
1.0821,0.01152
1.105,0.01198
1.1276,0.01245
1.1497,0.01296
1.17,0.01362
1.1899,0.01431
1.2112,0.01486
1.2327,0.01537
1.2526,0.01599
1.2703,0.01679
1.2902,0.01734
1.3089,0.01795
1.3264,0.01862
1.3423,0.0193
1.3558,0.02001
1.3682,0.02075
1.3788,0.02161
1.3868,0.02262
1.3923,0.02379
1.3927,0.02532
1.3921,0.02699
1.3859,0.02918
1.3926,0.03048
1.3967,0.03206
1.4002,0.03376
1.4032,0.03558
1.4021,0.03792
1.402,0.04029
1.3995,0.04308
1.395,0.04628
1.3896,0.04978
1.3818,0.05383
1.3755,0.05794
1.3663,0.06269
1.3566,0.06782
1.3456,0.07342
1.3315,0.07983
1.3195,0.08621
1.3045,0.09338
1.2898,0.10078
1.2738,0.10872
1.2572,0.11699
1.2414,0.12536
1.2255,0.134
1.2079,0.14326
1.1911,0.15259
1.1739,0.16236
