Cl,Cd
-0.491,0.03433
-0.5308,0.03125
-0.5502,0.02845
-0.5521,0.02643
-0.5467,0.02478
-0.5341,0.02368
-0.519,0.02269
-0.5146,0.02011
-0.4966,0.0191
-0.476,0.01842
-0.4543,0.01782
-0.4318,0.01732
-0.409,0.01679
-0.3858,0.01629
-0.3621,0.01586
-0.3381,0.01542
-0.3143,0.01488
-0.2901,0.01437
-0.2656,0.01391
-0.2406,0.01354
-0.2151,0.01323
-0.192,0.01242
-0.1676,0.01192
-0.1421,0.01163
-0.1161,0.01136
-0.0901,0.01109
-0.0645,0.01085
-0.0382,0.0106
-0.0125,0.0104
0.0138,0.01025
0.037,0.00985
0.0609,0.00972
0.0852,0.00965
0.1097,0.0096
0.1347,0.00955
0.1597,0.0095
0.184,0.00936
0.2089,0.00935
0.2325,0.00943
0.2506,0.00974
0.2707,0.00998
0.2942,0.0101
0.3186,0.01011
0.3434,0.01013
0.369,0.01015
0.3935,0.01013
0.4192,0.01013
0.4445,0.01008
0.4684,0.00997
0.4929,0.01
0.5185,0.01002
0.5446,0.01004
0.5701,0.01004
0.5952,0.01006
0.6194,0.01004
0.6404,0.00979
0.6571,0.00937
0.6684,0.00888
0.7625,0.00883
0.8134,0.00902
0.8671,0.00917
0.8875,0.00928
0.9077,0.0094
0.9274,0.00955
0.9461,0.00974
0.9683,0.00981
0.9901,0.0099
1.0117,0.00999
1.0333,0.0101
1.0546,0.01021
1.0757,0.01034
1.0964,0.01049
1.1162,0.01067
1.1341,0.01086
1.1548,0.01093
1.1748,0.01104
1.1946,0.01116
1.214,0.01131
1.233,0.0115
1.2512,0.01173
1.2731,0.01185
1.2938,0.01202
1.312,0.0123
1.3324,0.01251
1.3494,0.01288
1.3427,0.01443
1.3487,0.01546
1.3623,0.01612
1.3769,0.01676
1.3911,0.01744
1.406,0.0181
1.421,0.01876
1.4347,0.01953
1.4464,0.02044
1.4447,0.02225
1.4538,0.0234
1.4638,0.02451
1.471,0.02585
1.4778,0.02724
1.4872,0.02848
1.4969,0.02972
1.5053,0.03108
1.5122,0.03261
1.5175,0.03433
1.5207,0.03629
1.5224,0.03847
1.5208,0.0411
1.5165,0.04413
1.5195,0.04647
1.5228,0.04884
1.5232,0.0516
1.5224,0.05455
1.5186,0.0579
1.5134,0.0615
1.5058,0.06552
1.4977,0.06967
1.4861,0.07439
1.4724,0.0795
1.4568,0.08492
1.4419,0.09025
