Cl,Cd
-1.1342,0.08234
-1.1377,0.07837
-1.1404,0.07455
-1.1421,0.07088
-1.1425,0.06747
-1.1416,0.06429
-1.1399,0.06125
-1.1373,0.05835
-1.1332,0.0557
-1.1277,0.05325
-1.1216,0.05091
-1.1136,0.04881
-1.1136,0.046
-1.1122,0.04338
-1.1067,0.04122
-1.0991,0.0393
-1.0893,0.03764
-1.0787,0.03609
-1.0667,0.03468
-1.0548,0.0333
-1.0417,0.03208
-1.0287,0.03088
-1.0144,0.02981
-1.0028,0.02858
-0.9946,0.02714
-0.9828,0.02603
-0.9643,0.02499
-0.9373,0.02404
-0.9164,0.02319
-0.9008,0.02245
-0.8845,0.02175
-0.8709,0.02079
-0.854,0.02006
-0.8355,0.01942
-0.8161,0.01881
-0.7961,0.01826
-0.7798,0.01751
-0.7629,0.01696
-0.7409,0.01649
-0.7179,0.01592
-0.6937,0.01541
-0.6683,0.01496
-0.6418,0.01447
-0.6146,0.01401
-0.5868,0.01361
-0.5577,0.01319
-0.5285,0.0128
-0.4993,0.01247
-0.4693,0.0121
-0.4391,0.01177
-0.4088,0.01148
-0.3777,0.01114
-0.3464,0.01082
-0.3148,0.01054
-0.2826,0.01025
-0.2501,0.00995
-0.2172,0.00966
-0.1833,0.0093
-0.1489,0.00894
-0.1139,0.00858
-0.0779,0.0082
-0.0406,0.00778
-0.0048,0.00752
0.0295,0.00741
0.0623,0.0074
0.0949,0.0074
0.1271,0.00743
0.1591,0.00748
0.1913,0.00752
0.2231,0.00755
0.2545,0.00763
0.2864,0.00768
0.3181,0.00776
0.3492,0.00782
0.3808,0.00788
0.412,0.00797
0.4434,0.00808
0.4747,0.00812
0.5053,0.00823
0.5364,0.00831
0.5672,0.00841
0.598,0.00852
0.6289,0.00862
0.6595,0.00878
0.6902,0.0088
0.7201,0.00895
0.7506,0.00904
0.7805,0.00919
0.8108,0.0093
0.8406,0.00946
0.8707,0.0096
0.9003,0.00977
0.93,0.00993
0.9592,0.01007
0.9883,0.01022
1.017,0.01041
1.0457,0.0106
1.0738,0.01083
1.1022,0.01103
1.1296,0.0113
1.1565,0.01161
1.1834,0.0119
1.2096,0.01222
1.2351,0.01254
1.2596,0.01292
1.2839,0.01329
1.3081,0.01366
1.3313,0.01406
1.3533,0.01451
1.376,0.01489
1.3968,0.01533
1.4168,0.01577
1.436,0.01621
1.4531,0.01661
1.4645,0.01717
1.482,0.01766
1.4987,0.01823
1.5131,0.01896
1.53,0.01959
1.5464,0.02028
1.5603,0.02114
1.574,0.02205
1.5906,0.02281
1.6047,0.02376
1.6166,0.02489
1.6276,0.02613
1.6423,0.02714
1.6549,0.02833
1.6656,0.02969
1.6735,0.03131
1.6822,0.0329
1.6941,0.03423
1.7029,0.03584
1.7098,0.03766
1.7144,0.03972
1.7165,0.04209
1.7253,0.04388
1.733,0.04577
1.7375,0.04803
1.7408,0.05045
1.7414,0.05319
1.7368,0.05655
1.7422,0.05886
1.7467,0.06131
1.7487,0.06407
1.7496,0.0669
1.7471,0.07021
1.7424,0.07381
1.7342,0.07787
1.7345,0.08096
1.736,0.08386
1.7341,0.08722
1.7332,0.09045
1.7294,0.09412
1.7251,0.09783
1.7192,0.10178
1.7101,0.10622
