Cl,Cd
-0.3011,0.10671
-0.2971,0.10337
-0.2929,0.10013
-0.2827,0.09432
-0.2606,0.0885
-0.2403,0.08285
-0.2319,0.07854
-0.2314,0.07502
-0.2336,0.0713
-0.2366,0.06781
-0.2481,0.06367
-0.3127,0.04039
-0.3009,0.03673
-0.332,0.0169
-0.3066,0.01625
-0.2807,0.01565
-0.2547,0.01496
-0.2288,0.01413
-0.2025,0.01334
-0.1758,0.01272
-0.148,0.01246
-0.1226,0.01141
-0.0947,0.01117
-0.0672,0.01084
-0.0393,0.01054
-0.0124,0.00994
0.0148,0.00947
0.0428,0.00923
0.0708,0.00908
0.0988,0.00881
0.1546,0.00823
0.1827,0.00809
0.2111,0.00796
0.2393,0.00778
0.2672,0.00754
0.2949,0.00723
0.3226,0.00702
0.3503,0.00677
0.3777,0.00652
0.4051,0.00624
0.4315,0.0059
0.456,0.00548
0.4776,0.00527
0.5117,0.00519
0.556,0.00524
0.5832,0.00531
0.6097,0.00538
0.6362,0.00548
0.6633,0.00555
0.6903,0.00565
0.7172,0.00576
0.7445,0.00586
0.7716,0.00597
0.7986,0.0061
0.8255,0.00624
0.8523,0.0064
0.879,0.00656
0.9056,0.00673
0.9321,0.00692
0.9584,0.00712
0.9844,0.00735
1.0101,0.0076
1.0354,0.00788
1.0609,0.00814
1.086,0.00843
1.1107,0.00874
1.1597,0.00937
1.184,0.00969
1.208,0.01002
1.2314,0.01038
1.2544,0.01076
1.2769,0.01116
1.2992,0.01156
1.3204,0.01201
1.3409,0.0125
1.3613,0.01296
1.3807,0.01345
1.3996,0.01395
1.4175,0.01447
1.4338,0.01502
1.4468,0.01558
1.4578,0.01621
1.4693,0.01684
1.4789,0.01762
1.4873,0.01852
1.493,0.01962
1.4916,0.02125
1.4898,0.02304
1.4917,0.02468
1.4984,0.02607
1.5053,0.0275
1.5128,0.02892
1.5188,0.03053
1.5231,0.03235
1.5251,0.03446
1.5272,0.03662
1.5252,0.03928
1.5256,0.04179
1.5264,0.04435
1.5274,0.04701
1.5261,0.05003
1.5252,0.05311
1.5205,0.0568
1.5157,0.06065
1.5103,0.06471
1.5059,0.06877
1.4973,0.07362
1.488,0.07873
1.4782,0.08407
1.4675,0.08975
1.4559,0.09573
1.4448,0.10175
1.4293,0.10876
1.417,0.11529
