x,y
1.0,0.0
0.99656,0.00112
0.98696,0.00457
0.97239,0.00989
0.95321,0.01609
0.92915,0.02276
0.90032,0.03008
0.86722,0.03808
0.83039,0.04663
0.79041,0.05559
0.74789,0.06472
0.70344,0.07377
0.65769,0.08239
0.61124,0.09021
0.56467,0.09667
0.51809,0.10109
0.47124,0.10334
0.42425,0.10384
0.37763,0.10284
0.3319,0.10044
0.28753,0.09676
0.24498,0.09191
0.20471,0.08598
0.16712,0.0791
0.13262,0.07139
0.10155,0.06298
0.07425,0.05402
0.05098,0.04463
0.03196,0.03498
0.01735,0.02523
0.00723,0.01556
0.0015,0.00628
0.0,0.0
0.00018,-0.00196
0.0043,-0.00847
0.01441,-0.01382
0.03006,-0.01864
0.05097,-0.02281
0.07688,-0.02628
0.10754,-0.02903
0.14262,-0.0311
0.18173,-0.03249
0.22445,-0.03327
0.27028,-0.03346
0.31867,-0.03311
0.36905,-0.03224
0.42079,-0.03088
0.47326,-0.02899
0.5258,-0.02655
0.57775,-0.02341
0.62855,-0.01915
0.67839,-0.01332
0.72786,-0.00655
0.77663,-0.0002
0.82356,0.00477
0.86743,0.00781
0.90682,0.00861
0.94021,0.00742
0.9665,0.00509
0.98521,0.00259
0.99632,0.0007
1.0,0.0
