Cl,Cd
-0.6203,0.09782
-0.6045,0.09718
-1.326,0.02575
-1.3081,0.02328
-1.2964,0.02065
-1.2714,0.01945
-1.237,0.0185
-1.1995,0.01776
-1.1598,0.0172
-1.1185,0.01671
-1.0965,0.01621
-1.0607,0.01576
-1.02,0.01533
-0.9776,0.01491
-0.9571,0.01453
-0.9273,0.01416
-0.889,0.01376
-0.8571,0.01368
-0.8382,0.01367
-0.816,0.01361
-0.7921,0.01351
-0.7668,0.0134
-0.7409,0.01329
-0.7142,0.01319
-0.687,0.01312
-0.6594,0.01303
-0.6316,0.01296
-0.6035,0.01289
-0.5757,0.01269
-0.5488,0.01238
-0.5204,0.01217
-0.492,0.01205
-0.4629,0.01195
-0.4336,0.01186
-0.4046,0.01181
-0.3751,0.01175
-0.3454,0.01168
-0.3158,0.01163
-0.2863,0.01159
-0.2571,0.01158
-0.227,0.01151
-0.197,0.01145
-0.167,0.0114
-0.1371,0.01136
-0.1073,0.01133
-0.0777,0.01133
-0.0482,0.01135
-0.0179,0.01131
0.0124,0.01128
0.0426,0.01128
0.0726,0.01116
0.1025,0.01101
0.1325,0.01096
0.1624,0.01094
0.1923,0.01095
0.222,0.01099
0.2516,0.01106
0.2815,0.0111
0.3118,0.0111
0.342,0.0111
0.3721,0.01111
0.4023,0.01112
0.4323,0.01114
0.4623,0.01116
0.4923,0.0112
0.5222,0.01124
0.552,0.01129
0.5817,0.01136
0.6114,0.01135
0.6411,0.01136
0.6706,0.01149
0.7003,0.01162
0.7301,0.01163
0.7597,0.01164
0.7892,0.01164
0.8186,0.01165
0.8479,0.01167
0.8769,0.01167
0.9052,0.01175
0.9336,0.01183
0.963,0.01176
0.992,0.01175
1.0205,0.01181
1.0481,0.01188
1.0768,0.01187
1.1062,0.01185
1.1339,0.01191
1.1609,0.01202
1.1891,0.01209
1.2148,0.01225
1.24,0.01246
1.2607,0.01289
1.2741,0.0137
1.2861,0.01452
1.2936,0.01528
1.2996,0.01606
1.3059,0.0169
1.3129,0.01772
1.3199,0.01853
1.3255,0.01943
1.3296,0.02044
1.3329,0.02155
1.3349,0.02282
1.3354,0.02431
1.333,0.02616
1.3293,0.02837
1.3249,0.03092
1.3191,0.03388
1.3104,0.03736
1.3019,0.04099
1.2929,0.04477
1.2831,0.04872
1.2752,0.05251
1.2663,0.05648
1.2576,0.06053
1.2538,0.06415
1.2509,0.06773
1.2464,0.07162
1.2429,0.07544
1.2437,0.07878
1.2451,0.08207
1.2445,0.08572
1.2453,0.08918
1.2442,0.09297
