Cl,Cd
-0.9616,0.0791
-1.0135,0.06418
-1.0374,0.05639
-1.0542,0.05073
-1.0667,0.04629
-1.0754,0.04279
-1.0828,0.03978
-1.0887,0.03724
-1.0947,0.03506
-1.1026,0.03323
-1.1163,0.03181
-1.1195,0.0303
-1.1148,0.02888
-1.1049,0.02759
-1.0919,0.02626
-1.0765,0.02498
-1.0562,0.02376
-1.0278,0.02258
-0.9986,0.02156
-0.9688,0.02068
-0.9407,0.01871
-0.9101,0.01762
-0.8785,0.0169
-0.8465,0.01629
-0.8141,0.01572
-0.7814,0.01518
-0.7499,0.01471
-0.719,0.01433
-0.6862,0.01349
-0.6538,0.01303
-0.6212,0.01268
-0.5884,0.01236
-0.5548,0.01187
-0.5217,0.01158
-0.4888,0.01139
-0.4545,0.01096
-0.4212,0.01077
-0.387,0.01045
-0.3532,0.01023
-0.3194,0.01007
-0.2846,0.00977
-0.2504,0.00959
-0.2157,0.00935
-0.1863,0.00916
-0.1543,0.00892
-0.1205,0.00865
-0.0855,0.00834
-0.0493,0.00795
-0.0116,0.00745
0.0276,0.00688
0.068,0.00631
0.1041,0.00613
0.1409,0.006
0.1785,0.00586
0.2181,0.00567
0.2523,0.00546
0.2844,0.00534
0.3165,0.00528
0.345,0.0052
0.3735,0.00517
0.4019,0.00516
0.4302,0.00519
0.4577,0.00525
0.4848,0.00538
0.5065,0.00599
0.5251,0.00711
0.5472,0.00801
0.5714,0.00871
0.5971,0.00925
0.6235,0.0097
0.6507,0.01003
0.678,0.01029
0.7054,0.01054
0.7328,0.01076
0.7601,0.01103
0.7877,0.01123
0.8153,0.01144
0.8422,0.01178
0.8699,0.01196
0.8971,0.01216
0.9232,0.01256
0.9505,0.01274
0.9772,0.01301
1.0033,0.0134
1.0302,0.01365
1.0565,0.01399
1.0817,0.01451
1.1077,0.01482
1.1334,0.01519
1.1588,0.01557
1.1839,0.01601
1.2077,0.01666
1.23,0.01756
1.2546,0.01806
1.2787,0.01856
1.3027,0.01907
1.3262,0.01962
1.3493,0.02022
1.3719,0.02087
1.3942,0.02154
1.4159,0.02226
1.4367,0.02307
1.4553,0.02415
1.4703,0.02576
1.481,0.02805
1.4984,0.02904
1.5144,0.03013
1.5288,0.03136
1.5413,0.03268
1.5512,0.03412
1.5578,0.03572
1.5602,0.03734
1.557,0.03889
1.5548,0.04064
1.5514,0.04259
1.5455,0.04487
1.538,0.0474
1.5259,0.05059
1.511,0.05436
1.4907,0.05919
1.4677,0.06512
1.436,0.07375
1.3823,0.09036
