Cl,Cd
-0.7735,0.12304
-0.8473,0.10159
-0.9153,0.08266
-0.9506,0.0715
-0.9744,0.06345
-0.9917,0.05731
-1.0005,0.05298
-1.0126,0.04866
-1.0288,0.04428
-1.0283,0.04197
-1.0277,0.0398
-1.0285,0.03759
-1.0333,0.03506
-1.0514,0.03126
-1.0517,0.02931
-1.0468,0.0279
-1.0379,0.02693
-1.0279,0.0261
-1.0184,0.02519
-1.0096,0.02418
-0.981,0.023
-0.9461,0.02184
-0.9317,0.02134
-0.921,0.02063
-0.9083,0.02011
-0.8939,0.01973
-0.886,0.01822
-0.8716,0.0174
-0.8525,0.01694
-0.8334,0.01647
-0.8131,0.016
-0.7933,0.01548
-0.7723,0.01507
-0.7506,0.01463
-0.7276,0.01432
-0.7107,0.01348
-0.6885,0.01307
-0.6651,0.01272
-0.6414,0.0124
-0.6175,0.01211
-0.5938,0.0118
-0.5707,0.01136
-0.5456,0.01111
-0.5205,0.01086
-0.4962,0.01055
-0.4704,0.01039
-0.4459,0.01007
-0.4196,0.0099
-0.3947,0.00959
-0.3704,0.00925
-0.3434,0.00913
-0.3157,0.0091
-0.2891,0.00898
-0.2617,0.00888
-0.234,0.00881
-0.207,0.00867
-0.1799,0.00854
-0.1525,0.00844
-0.1249,0.00836
-0.0973,0.00829
-0.07,0.0082
-0.0452,0.00786
-0.023,0.00727
-0.0017,0.00662
0.0178,0.00591
0.0454,0.00586
0.0734,0.00584
0.1012,0.00585
0.129,0.00579
0.1571,0.00578
0.1854,0.00578
0.2137,0.00581
0.2418,0.00577
0.2703,0.00577
0.2986,0.0058
0.3267,0.00575
0.3548,0.00575
0.3832,0.00577
0.4113,0.00575
0.4389,0.00574
0.4666,0.00577
0.4944,0.0058
0.5213,0.00584
0.5428,0.00616
0.5606,0.00683
0.5791,0.00744
0.5974,0.00804
0.6167,0.00858
0.6368,0.00906
0.6778,0.00989
0.6991,0.0102
0.7203,0.01053
0.741,0.01086
0.7618,0.01118
0.7823,0.01147
0.8216,0.01209
0.839,0.01244
0.8566,0.01271
0.8725,0.01308
0.9092,0.01351
0.9516,0.01421
0.9714,0.01474
0.9861,0.01512
1.0008,0.01556
1.0158,0.01604
1.0285,0.01669
1.0366,0.01767
1.054,0.01811
1.0693,0.01871
1.0848,0.01931
1.0991,0.02
1.1131,0.02073
1.1253,0.02161
1.1323,0.02288
1.1392,0.02422
1.1535,0.025
1.1653,0.026
1.1777,0.02696
1.188,0.0281
1.1979,0.02929
1.2098,0.03033
1.2197,0.03154
1.2269,0.033
1.2295,0.0349
1.2272,0.03728
1.219,0.04033
1.2251,0.04208
1.2315,0.04388
1.2343,0.04611
1.2327,0.04887
1.2295,0.05195
1.2305,0.05471
1.2273,0.05812
1.2195,0.06224
1.2115,0.06665
1.2038,0.07128
1.1918,0.07677
1.1849,0.08168
1.1694,0.08823
1.1423,0.09695
1.1359,0.10239
