Cl,Cd
-0.6601,0.056
-0.6958,0.04915
-0.7225,0.04525
-0.7505,0.04299
-0.7824,0.03861
-0.8079,0.03486
-0.8255,0.03158
-0.8171,0.02721
-0.7891,0.02607
-0.76,0.02514
-0.7497,0.01979
-0.7253,0.01772
-0.698,0.01612
-0.6673,0.01519
-0.6346,0.01461
-0.6017,0.01383
-0.5765,0.01311
-0.5466,0.01243
-0.514,0.012
-0.4846,0.01076
-0.4515,0.01018
-0.4214,0.00979
-0.3936,0.00949
-0.3643,0.00898
-0.3323,0.00862
-0.31,0.00817
-0.282,0.00778
-0.2575,0.00751
-0.2306,0.00723
-0.2072,0.00691
-0.184,0.00645
-0.1633,0.00595
-0.1447,0.00537
-0.1223,0.00508
-0.0999,0.00486
-0.0774,0.00466
-0.0538,0.00453
-0.03,0.00443
-0.0057,0.00435
0.0194,0.00431
0.0449,0.0043
0.0707,0.0043
0.0964,0.00431
0.1232,0.00435
0.1501,0.00442
0.1782,0.00451
0.2041,0.00459
0.2352,0.0047
0.2608,0.00481
0.2925,0.00494
0.3248,0.0051
0.3563,0.00525
0.3806,0.0054
0.4161,0.00557
0.4506,0.00576
0.4831,0.00605
0.5144,0.00638
0.5416,0.00693
0.5637,0.0075
0.595,0.00809
0.6261,0.00867
0.6566,0.00926
0.6861,0.00987
0.7156,0.01035
0.7461,0.01075
0.7781,0.01117
0.809,0.01164
0.8402,0.01202
0.8675,0.0124
0.8821,0.01294
0.8886,0.01408
0.9057,0.01439
0.9218,0.01477
0.9378,0.01516
0.9527,0.01565
0.9668,0.0162
0.9802,0.01683
0.9924,0.01758
1.0021,0.01864
1.0081,0.0204
1.014,0.02262
1.0277,0.02329
1.0403,0.02409
1.0483,0.0256
1.0573,0.0265
1.0599,0.0278
1.0568,0.02983
1.0585,0.03113
1.0509,0.03356
1.038,0.03656
1.0196,0.04022
0.9933,0.04502
0.9668,0.05033
0.9486,0.05518
0.9192,0.06255
0.8983,0.06963
0.8712,0.07928
