Cl,Cd
-0.1914,0.1009
-0.1909,0.09673
-0.1871,0.09318
-0.1837,0.08945
-0.1747,0.08706
-0.1653,0.08483
-0.1559,0.08267
-0.1481,0.08039
-0.1412,0.0781
-0.1349,0.07585
-0.1321,0.0732
-0.1319,0.07044
-0.1705,0.05854
-0.1829,0.04895
-0.1679,0.04696
-0.1514,0.04491
-0.1327,0.04321
-0.1137,0.04122
-0.0937,0.03929
-0.0888,0.02956
-0.0644,0.02842
-0.0395,0.02743
-0.0141,0.02654
0.0036,0.02106
0.0267,0.01812
0.0536,0.01704
0.0809,0.0161
0.1089,0.01542
0.1372,0.01494
0.1659,0.01465
0.1931,0.01349
0.2215,0.01307
0.2502,0.01279
0.279,0.01254
0.3076,0.01239
0.3361,0.01217
0.3651,0.01185
0.394,0.0116
0.4229,0.01138
0.452,0.01122
0.4802,0.01086
0.5089,0.01062
0.5378,0.01047
0.5669,0.01035
0.5961,0.01023
0.6253,0.01009
0.6545,0.00997
0.6834,0.00982
0.7123,0.00977
0.7412,0.00977
0.7705,0.00967
0.7997,0.00959
0.8289,0.0095
0.8572,0.0092
0.8838,0.00865
0.9046,0.00774
0.9575,0.00737
0.9855,0.00741
1.0139,0.00745
1.0423,0.00748
1.0707,0.00751
1.099,0.00755
1.1272,0.00761
1.1548,0.00772
1.1812,0.00797
1.2072,0.00827
1.2331,0.00858
1.2595,0.00883
1.2844,0.00923
1.2948,0.011
1.3142,0.01181
1.3361,0.01234
1.3536,0.0132
1.3516,0.01549
1.3527,0.01864
1.32,0.02289
1.3042,0.026
1.297,0.0286
1.2932,0.031
1.2942,0.03301
1.3016,0.03455
1.3054,0.03644
1.3103,0.03828
1.3153,0.04013
1.327,0.04145
1.3342,0.04319
1.3391,0.04512
1.3425,0.04718
1.3382,0.04993
1.3414,0.05209
1.3474,0.05396
1.3556,0.0556
1.3653,0.05713
1.3737,0.05879
1.38,0.06071
1.3876,0.06247
1.399,0.06384
1.4087,0.06539
1.4156,0.06722
1.4265,0.06866
1.419,0.07195
1.4185,0.07458
1.423,0.07672
1.426,0.07909
1.4321,0.08115
1.4359,0.08347
1.4434,0.08538
1.4482,0.08762
1.4535,0.0899
1.4591,0.0921
1.4632,0.09449
1.4673,0.09696
1.4722,0.09936
1.477,0.10178
1.4804,0.10441
1.4816,0.10737
1.4834,0.11026
