Cl,Cd
-0.3715,0.13399
-0.5599,0.13751
-0.5603,0.13331
-0.5618,0.12824
-0.5667,0.12199
-0.857,0.04555
-0.857,0.04328
-0.8592,0.03998
-0.8633,0.03693
-0.7903,0.02182
-0.7887,0.01964
-0.783,0.01727
-0.7742,0.01551
-0.7626,0.01409
-0.7481,0.01261
-0.7324,0.01142
-0.7702,0.02301
-0.7498,0.02202
-0.7291,0.02111
-0.7078,0.02031
-0.6897,0.01897
-0.6718,0.01788
-0.651,0.01716
-0.629,0.01654
-0.6066,0.01595
-0.5834,0.01536
-0.5596,0.01481
-0.5351,0.0143
-0.5098,0.01385
-0.4842,0.01342
-0.4597,0.01279
-0.433,0.01243
-0.4059,0.01211
-0.3783,0.01186
-0.3513,0.01147
-0.3234,0.01122
-0.2955,0.01091
-0.2683,0.01036
-0.2437,0.00892
-0.2162,0.00775
-0.1868,0.00691
-0.1568,0.00686
-0.1266,0.00692
-0.0966,0.00703
-0.0664,0.00714
-0.0366,0.00723
-0.0066,0.00726
0.0235,0.00729
0.0536,0.0073
0.0832,0.00726
0.113,0.00728
0.1428,0.00735
0.1728,0.00735
0.2027,0.00734
0.2327,0.00735
0.2628,0.00737
0.2922,0.0073
0.3218,0.00725
0.3515,0.0072
0.3811,0.00718
0.4107,0.00718
0.4406,0.00715
0.4703,0.00715
0.4998,0.00715
0.5294,0.00714
0.5588,0.00716
0.588,0.0072
0.6169,0.00725
0.6451,0.00729
0.6724,0.00744
0.6988,0.0077
0.7244,0.00804
0.7499,0.00839
0.7762,0.00868
0.8021,0.00899
0.8278,0.00931
0.8537,0.00962
0.879,0.00997
0.9038,0.01035
0.9294,0.01067
0.9547,0.01097
0.98,0.01124
1.0051,0.01153
1.0555,0.0121
1.0804,0.0124
1.1047,0.01273
1.1294,0.01302
1.1532,0.01338
1.1765,0.01375
1.1998,0.01411
1.222,0.01452
1.2646,0.01537
1.285,0.01584
1.3042,0.01635
1.3237,0.01682
1.3405,0.01741
1.3549,0.01788
1.369,0.01849
1.3833,0.01918
1.3991,0.01978
1.4122,0.02058
1.4241,0.02151
1.439,0.02231
1.4515,0.02334
1.4614,0.02467
1.4736,0.02588
1.4872,0.02699
1.4986,0.02833
1.5068,0.02993
1.5143,0.03161
1.5257,0.03294
1.535,0.03446
1.542,0.03618
1.5457,0.03822
1.5465,0.04054
1.5536,0.0423
1.5593,0.04422
1.5639,0.04628
1.566,0.04861
1.5567,0.05065
1.553,0.05388
1.548,0.05735
1.55,0.06011
1.5498,0.06321
1.5481,0.06659
1.5444,0.07028
1.5383,0.07437
1.5305,0.0788
1.5195,0.0838
1.5044,0.0895
1.4855,0.09588
