Cl,Cd
-0.5514,0.12309
-0.5484,0.11867
-0.5459,0.11427
-0.5437,0.10975
-0.299,0.01468
-0.2723,0.01371
-0.2462,0.01251
-0.2204,0.01144
-0.1947,0.01074
-0.1708,0.0097
-0.1441,0.00936
-0.1171,0.00907
-0.0898,0.00878
-0.0628,0.0085
-0.0352,0.00821
-0.0074,0.00806
0.0205,0.00786
0.047,0.00732
0.0659,0.00558
0.0932,0.00544
0.1213,0.00538
0.1491,0.00536
0.1774,0.00531
0.2052,0.0053
0.2334,0.00525
0.2613,0.00525
0.2894,0.00524
0.3176,0.00522
0.3456,0.00523
0.3735,0.00522
0.4012,0.00523
0.4286,0.00524
0.4557,0.00527
0.4822,0.00532
0.5082,0.00541
0.5329,0.00559
0.5574,0.0059
0.5837,0.00633
0.6137,0.00678
0.646,0.00713
0.6787,0.00749
0.7132,0.00789
0.7414,0.00829
0.7642,0.00861
0.7876,0.00891
0.8116,0.00921
0.8359,0.00951
0.8595,0.00993
0.8825,0.01043
0.9051,0.01099
0.9276,0.01159
0.9516,0.01201
0.9744,0.01259
0.9989,0.01294
1.0229,0.01334
1.0455,0.01391
1.0664,0.01466
1.09,0.01506
1.113,0.01552
1.1356,0.01599
1.1546,0.01682
1.1725,0.01774
1.1941,0.01823
1.2145,0.01882
1.2342,0.01943
1.2527,0.02011
1.2643,0.02133
1.2675,0.02292
1.282,0.02366
1.2937,0.02463
1.3041,0.02574
1.3133,0.02699
1.3226,0.02826
1.3325,0.02951
1.3414,0.03089
1.3488,0.03247
1.3518,0.03452
1.3465,0.0375
1.3333,0.04147
1.3164,0.04609
1.3145,0.04919
1.31,0.05272
1.3027,0.05679
1.2942,0.06125
1.2823,0.06649
1.2691,0.07234
1.254,0.07884
1.2355,0.08624
1.2162,0.09414
1.1942,0.10274
1.1707,0.11181
1.1452,0.12144
1.1201,0.13134
1.0939,0.14196
1.0646,0.1538
