Cl,Cd
-0.3273,0.11739
-0.3234,0.11492
-0.3201,0.11253
-0.3057,0.1089
-0.2907,0.10514
-0.2778,0.10154
-0.2628,0.09775
-0.2461,0.09389
-0.2253,0.08971
-0.1987,0.08521
-0.1067,0.06984
-0.0845,0.06666
-0.0614,0.0634
0.0074,0.0551
0.041,0.05078
0.0724,0.04497
0.0983,0.04287
0.1287,0.04049
0.1643,0.0376
0.2124,0.03361
0.2543,0.0289
0.2951,0.02273
0.3237,0.02172
0.3549,0.02029
0.3799,0.00407
0.4287,0.01205
0.4582,0.01095
0.4869,0.01026
0.5154,0.00981
0.5435,0.00954
0.5718,0.00882
0.5999,0.00817
0.6279,0.00805
0.6558,0.00789
0.6837,0.00776
0.7114,0.00768
0.7394,0.00747
0.767,0.00742
0.7945,0.00739
0.8222,0.00735
0.8492,0.00726
0.8753,0.00686
0.9012,0.00587
0.9282,0.006
0.9546,0.00617
0.9807,0.00636
1.007,0.00655
1.033,0.00677
1.0584,0.00704
1.0831,0.00739
1.1064,0.00788
1.1294,0.00842
1.1515,0.00907
1.1702,0.01009
1.1809,0.01205
1.2049,0.01246
1.2295,0.01278
1.2538,0.01313
1.2783,0.01342
1.3019,0.01382
1.3246,0.0143
1.3482,0.01464
1.369,0.0153
1.3919,0.01567
1.4137,0.01613
1.4342,0.0167
1.4481,0.01783
1.469,0.01826
1.488,0.01881
1.5056,0.01945
1.5221,0.02011
1.5384,0.02076
1.5528,0.02149
1.5587,0.02275
1.5533,0.02467
1.5663,0.02535
1.5778,0.0262
1.5882,0.02717
1.5968,0.02835
1.6056,0.02955
1.6149,0.03072
1.6237,0.03194
1.631,0.03334
1.6374,0.03487
1.6411,0.03669
1.6385,0.03931
1.62,0.04423
1.6272,0.04565
1.6307,0.04763
1.6336,0.04972
1.634,0.05215
1.6317,0.05497
1.6253,0.05843
1.6192,0.06196
1.6088,0.06619
1.5988,0.07055
1.5871,0.07539
1.5738,0.0807
1.5556,0.08705
1.5392,0.09345
1.5201,0.10071
1.4992,0.1087
1.4742,0.11794
1.4462,0.12856
1.4173,0.14025
1.3812,0.15511
