Cl,Cd
-0.7848,0.07161
-0.8107,0.06293
-0.8403,0.05328
-0.7982,0.05681
-0.8459,0.04312
-0.8799,0.03556
-0.8635,0.03519
-0.9128,0.03054
-0.9184,0.02859
-0.9198,0.02683
-0.9155,0.02577
-0.9149,0.02481
-0.8993,0.02376
-0.8698,0.02282
-0.8413,0.0215
-0.8136,0.02032
-0.785,0.01935
-0.7555,0.0183
-0.7244,0.01739
-0.692,0.01664
-0.6657,0.01532
-0.6382,0.01436
-0.6073,0.01387
-0.577,0.01339
-0.5516,0.01302
-0.5236,0.01273
-0.5019,0.01193
-0.4776,0.01149
-0.4523,0.01118
-0.4273,0.01089
-0.4018,0.01057
-0.378,0.01004
-0.3521,0.00978
-0.3257,0.00959
-0.3006,0.00917
-0.2742,0.00893
-0.2478,0.0087
-0.2215,0.00843
-0.1963,0.00797
-0.1719,0.00745
-0.1457,0.00718
-0.1189,0.00701
-0.0919,0.00687
-0.0647,0.00675
-0.0377,0.00665
-0.0106,0.00654
0.0427,0.00636
0.0695,0.0063
0.0962,0.00624
0.1228,0.00618
0.1493,0.00611
0.1754,0.00603
0.2013,0.00592
0.2269,0.0058
0.2523,0.00569
0.2773,0.00556
0.3016,0.00542
0.3243,0.00524
0.3472,0.00517
0.3745,0.00526
0.4039,0.00539
0.4359,0.00557
0.4727,0.00578
0.5058,0.00607
0.5429,0.00646
0.5765,0.00694
0.6103,0.00742
0.6466,0.00773
0.6819,0.00797
0.7038,0.00816
0.7256,0.00837
0.7482,0.00852
0.7704,0.00871
0.7929,0.00889
0.8153,0.00908
0.8382,0.00925
0.8604,0.00948
0.8839,0.00963
0.9065,0.00986
0.9294,0.01007
0.9527,0.01025
0.9753,0.0105
0.9981,0.01075
1.0217,0.01094
1.0448,0.01118
1.0666,0.01151
1.0899,0.01173
1.1133,0.01195
1.1361,0.01221
1.1581,0.01252
1.1793,0.01288
1.2032,0.01304
1.2257,0.01329
1.2464,0.01366
1.2681,0.01395
1.2903,0.01418
1.3109,0.01451
1.3295,0.01495
1.3506,0.0152
1.3685,0.01555
1.3835,0.01602
1.3994,0.01643
1.4117,0.01706
1.4178,0.01809
1.4184,0.01951
1.4243,0.02065
1.4313,0.02174
1.437,0.02296
1.4464,0.02395
1.454,0.0251
1.4582,0.02654
1.4622,0.02805
1.4684,0.02945
1.4745,0.03091
1.4767,0.03276
1.4775,0.03484
1.4747,0.03737
1.4626,0.04103
1.4644,0.0434
1.4616,0.04639
1.453,0.05029
1.4444,0.05441
1.432,0.05928
1.42,0.06439
1.4032,0.07049
1.3778,0.07842
1.3481,0.08756
1.3134,0.09818
1.2623,0.11236
