Cl,Cd
-0.7557,0.07002
-0.7858,0.06066
-0.8124,0.0532
-0.8237,0.04843
-0.8429,0.04287
-0.848,0.03928
-0.8539,0.03569
-0.8538,0.03296
-0.8622,0.02967
-0.8635,0.02729
-0.8321,0.02454
-0.7353,0.02138
-0.7244,0.02062
-0.712,0.01976
-0.696,0.019
-0.6771,0.01834
-0.6577,0.01763
-0.6367,0.01697
-0.6146,0.01637
-0.5929,0.01566
-0.5699,0.01507
-0.546,0.01453
-0.5221,0.01392
-0.4964,0.01362
-0.4685,0.01369
-0.4405,0.0138
-0.4116,0.01402
-0.3833,0.01418
-0.354,0.01445
-0.3314,0.01335
-0.3043,0.01316
-0.2764,0.01305
-0.249,0.01289
-0.2215,0.01276
-0.1934,0.01266
-0.1655,0.01255
-0.1379,0.01241
-0.1122,0.01157
-0.0849,0.01114
-0.0573,0.0109
-0.0293,0.01067
-0.0009,0.01043
0.0275,0.01022
0.0558,0.01006
0.0841,0.00994
0.1126,0.00982
0.1414,0.00969
0.1703,0.00958
0.1989,0.00934
0.2274,0.00912
0.2552,0.00875
0.2823,0.00786
0.3111,0.00779
0.34,0.00781
0.3687,0.00784
0.3974,0.00789
0.4262,0.00791
0.4552,0.00794
0.4839,0.00798
0.5126,0.00804
0.5413,0.0081
0.5696,0.00815
0.5984,0.00817
0.6269,0.00821
0.655,0.0083
0.6836,0.00835
0.7123,0.00839
0.7406,0.00842
0.7688,0.00848
0.797,0.00854
0.8254,0.00859
0.8535,0.00867
0.8815,0.00875
0.9364,0.00896
0.9631,0.00916
0.9826,0.01006
0.9954,0.01155
1.0169,0.01218
1.0373,0.01288
1.0614,0.01324
1.0869,0.01345
1.1074,0.01405
1.132,0.0143
1.1513,0.01495
1.1744,0.01526
1.197,0.01558
1.2125,0.01637
1.2328,0.01678
1.2523,0.01721
1.2706,0.01767
1.2871,0.01816
1.2993,0.0187
1.3069,0.01933
1.3132,0.02006
1.315,0.02105
1.3182,0.0221
1.3186,0.02345
1.3203,0.02506
1.3219,0.02716
1.3214,0.02968
1.321,0.03234
1.3147,0.03567
1.317,0.03817
1.3113,0.04151
1.3071,0.04474
1.301,0.04818
1.2984,0.05128
1.2946,0.05457
1.2924,0.05781
1.2895,0.06125
1.2905,0.06424
1.2875,0.06783
1.2876,0.07107
1.2865,0.0745
1.2876,0.07771
1.2855,0.08139
1.2876,0.08452
