Cl,Cd
-0.8148,0.09196
-0.8463,0.08311
-0.8725,0.07545
-0.8935,0.06896
-0.9175,0.06258
-0.9378,0.05679
-0.9578,0.05119
-0.9726,0.04616
-0.9885,0.04113
-1.0014,0.03635
-1.0161,0.03166
-1.0584,0.02922
-1.0563,0.02787
-1.0315,0.0255
-1.0044,0.02363
-0.9794,0.02247
-0.9513,0.0215
-0.9209,0.0207
-0.8894,0.01993
-0.8572,0.01915
-0.8301,0.01845
-0.8005,0.01778
-0.7682,0.01716
-0.7364,0.01652
-0.7059,0.01544
-0.6827,0.01487
-0.6535,0.01438
-0.6256,0.01397
-0.6006,0.01359
-0.5729,0.01321
-0.5488,0.01289
-0.4997,0.01198
-0.4737,0.01164
-0.4482,0.01136
-0.4219,0.01111
-0.3956,0.01091
-0.3703,0.01053
-0.3442,0.01029
-0.3175,0.0101
-0.2912,0.00988
-0.2649,0.00963
-0.2381,0.00949
-0.2116,0.00925
-0.158,0.00891
-0.131,0.0088
-0.1043,0.00862
-0.0772,0.0085
-0.0505,0.00839
-0.0234,0.00826
0.0038,0.00818
0.0306,0.0081
0.0578,0.00802
0.0852,0.00799
0.112,0.00793
0.1397,0.00789
0.1668,0.00784
0.1943,0.0078
0.2216,0.00776
0.2491,0.00771
0.2763,0.00768
0.3039,0.00762
0.3309,0.00759
0.3587,0.00751
0.3858,0.0075
0.4135,0.00748
0.4409,0.00747
0.4682,0.00749
0.496,0.00748
0.5506,0.0075
0.5776,0.00753
0.6049,0.00754
0.6319,0.00756
0.6588,0.00758
0.7119,0.00759
0.7385,0.00755
0.7635,0.00751
0.7857,0.00717
0.8291,0.00694
0.8613,0.00704
0.8866,0.00717
0.9118,0.0073
0.9374,0.00742
0.9621,0.00758
0.9872,0.00773
1.0122,0.00788
1.0367,0.00806
1.0618,0.00821
1.0855,0.00843
1.1105,0.00858
1.1344,0.00879
1.1574,0.00903
1.1813,0.00922
1.2038,0.00948
1.2257,0.00976
1.247,0.01006
1.2677,0.01038
1.2874,0.01073
1.3056,0.01112
1.3209,0.01154
1.3337,0.01205
1.3425,0.01272
1.3444,0.01372
1.3437,0.01486
1.3499,0.01574
1.3595,0.0165
1.3711,0.01718
1.3817,0.01794
1.3951,0.01858
1.4052,0.01943
1.4181,0.02015
1.4297,0.02097
1.4385,0.02201
1.45,0.02291
1.4617,0.02384
1.4709,0.02498
1.4774,0.02635
1.4871,0.02755
1.4974,0.02874
1.5051,0.03017
1.5111,0.03179
1.5138,0.03377
1.5211,0.03542
1.5293,0.03702
1.5339,0.03902
1.5382,0.0411
1.5389,0.04363
1.5372,0.04646
1.5425,0.04861
1.5465,0.05095
1.5484,0.05355
1.5485,0.05642
1.5476,0.05946
1.5423,0.06312
1.5366,0.06691
1.5395,0.06964
1.5399,0.07275
1.5381,0.07622
1.5367,0.07969
1.5329,0.08352
1.5275,0.08766
1.5176,0.09254
