Cl,Cd
-0.3229,0.0933
-0.488,0.0295
-0.4848,0.02502
-0.4734,0.02254
-0.456,0.02094
-0.4367,0.01973
-0.4247,0.01666
-0.404,0.01532
-0.3809,0.01446
-0.3567,0.01377
-0.332,0.01314
-0.3071,0.01252
-0.2817,0.01198
-0.2561,0.01145
-0.2302,0.01096
-0.2039,0.01058
-0.1772,0.01022
-0.1515,0.00962
-0.1245,0.0093
-0.0973,0.00903
-0.0701,0.00873
-0.0426,0.00848
-0.0149,0.00837
0.0128,0.00819
0.0407,0.00809
0.0685,0.00798
0.0964,0.00782
0.1241,0.00774
0.1518,0.00756
0.1792,0.00739
0.2065,0.00712
0.2332,0.00671
0.2594,0.00613
0.2863,0.00585
0.314,0.00573
0.3417,0.0057
0.3699,0.00566
0.3976,0.00568
0.4258,0.00568
0.4535,0.00572
0.4814,0.00574
0.5091,0.00578
0.5368,0.00582
0.5647,0.00586
0.5924,0.00591
0.6204,0.00595
0.6477,0.00601
0.7023,0.00614
0.7294,0.00623
0.7558,0.00634
0.782,0.00647
0.8077,0.00662
0.8326,0.00683
0.8566,0.00709
0.8801,0.00741
0.9033,0.00771
0.9265,0.00803
0.9492,0.00837
0.994,0.00898
1.0164,0.00916
1.044,0.00922
1.0682,0.0095
1.0935,0.0097
1.1175,0.00997
1.1425,0.01016
1.1661,0.01043
1.1902,0.01066
1.2136,0.01092
1.2362,0.01122
1.258,0.01155
1.2789,0.01192
1.298,0.01237
1.3153,0.0129
1.3308,0.01342
1.3447,0.01396
1.3577,0.01457
1.3695,0.01526
1.3812,0.01598
1.3917,0.01678
1.3973,0.01791
1.4009,0.01921
1.4114,0.02011
1.4232,0.02096
1.4351,0.02182
1.4459,0.02277
1.4564,0.02377
1.4658,0.02487
1.4717,0.02627
1.4765,0.02782
1.4846,0.02912
1.4907,0.03064
1.4969,0.03221
1.5007,0.03402
1.5031,0.03605
1.5061,0.03807
1.508,0.04028
1.5072,0.04287
1.5051,0.04572
1.5033,0.04867
1.4999,0.05194
1.4963,0.05541
1.4907,0.05927
1.4843,0.06343
1.4752,0.0682
1.4671,0.073
1.4553,0.07862
1.4448,0.08425
1.4317,0.09054
1.4186,0.09699
1.4063,0.1035
1.3926,0.11039
1.3789,0.11738
