Cl,Cd
-0.9944,0.13179
-1.0187,0.12268
-1.0472,0.11302
-1.0728,0.10428
-1.095,0.09633
-1.1165,0.08872
-1.1366,0.08157
-1.1497,0.07562
-1.1622,0.06998
-1.1746,0.0645
-1.1865,0.05937
-1.1959,0.05474
-1.1972,0.05136
-1.2062,0.04725
-1.2099,0.04395
-1.2104,0.04118
-1.2064,0.03903
-1.2066,0.03658
-1.2063,0.03434
-1.201,0.03267
-1.1942,0.03122
-1.1911,0.02955
-1.1839,0.0283
-1.1849,0.0265
-1.1857,0.02485
-1.1847,0.02347
-1.1786,0.02248
-1.1697,0.02172
-1.1593,0.02111
-1.15,0.02049
-1.1423,0.0199
-1.1353,0.0194
-1.1283,0.01894
-1.1179,0.01842
-1.1057,0.01798
-1.0929,0.01759
-1.0881,0.01678
-1.0804,0.01612
-1.0686,0.01567
-1.055,0.01533
-1.0416,0.01496
-1.0232,0.0146
-0.9917,0.01421
-0.9613,0.01364
-0.9299,0.01316
-0.8971,0.01282
-0.8685,0.01238
-0.8379,0.01199
-0.8062,0.01159
-0.7729,0.01131
-0.7396,0.01091
-0.7053,0.01058
-0.6788,0.01029
-0.6475,0.00996
-0.6149,0.0096
-0.5814,0.00923
-0.5466,0.00887
-0.5142,0.00851
-0.488,0.00812
-0.4572,0.00771
-0.4243,0.00734
-0.4001,0.00705
-0.3706,0.00674
-0.346,0.00647
-0.3181,0.00622
-0.2939,0.00602
-0.2682,0.00583
-0.2438,0.00563
-0.2196,0.00548
-0.195,0.00535
-0.1701,0.00525
-0.1458,0.00515
-0.1216,0.00507
-0.0973,0.005
-0.0729,0.00495
-0.0488,0.00492
-0.0244,0.0049
0.0,0.00491
0.0244,0.00491
0.0487,0.00492
0.0729,0.00495
0.0972,0.005
0.1216,0.00507
0.1458,0.00515
0.1701,0.00524
0.1948,0.00535
0.2194,0.00548
0.2437,0.00563
0.2682,0.00583
0.2938,0.00603
0.3181,0.00622
0.346,0.00647
0.3706,0.00674
0.4001,0.00705
0.4242,0.00733
0.4571,0.00772
0.4882,0.0081
0.5467,0.00887
0.5814,0.00923
0.6149,0.0096
0.6475,0.00996
0.6788,0.01029
0.7053,0.01058
0.7396,0.01091
0.773,0.0113
0.8062,0.0116
0.8379,0.01199
0.8685,0.01238
0.8972,0.01281
0.9299,0.01315
0.9614,0.01362
0.9917,0.01421
1.0232,0.01461
1.0414,0.01498
1.055,0.01533
1.0684,0.01569
1.0798,0.01615
1.0878,0.01679
1.0935,0.01755
1.1049,0.01802
1.1166,0.01849
1.1275,0.01897
1.1336,0.01947
1.141,0.01997
1.1488,0.02057
1.1588,0.02115
1.1688,0.02179
1.1769,0.02261
1.1855,0.02344
1.1898,0.02461
1.1832,0.02666
1.1803,0.02864
1.1899,0.0297
1.1968,0.03105
1.2004,0.03279
1.2048,0.03455
1.2077,0.03656
1.2095,0.03881
1.2137,0.04092
1.2103,0.04402
1.2096,0.04697
1.206,0.05045
1.1991,0.0545
1.1894,0.05915
1.1787,0.06413
1.165,0.0698
1.1578,0.07468
1.1383,0.08156
1.1205,0.08839
1.0991,0.09597
1.0744,0.10439
1.0513,0.11268
