Cl,Cd
-0.9012,0.07101
-0.9028,0.06802
-0.9047,0.06516
-0.9055,0.06242
-0.9038,0.06006
-0.9004,0.05788
-0.8952,0.05585
-0.8908,0.05384
-0.8849,0.05202
-0.8788,0.05019
-0.8718,0.04848
-0.8638,0.04692
-0.8558,0.04542
-0.8472,0.04395
-0.8375,0.04257
-0.828,0.04123
-0.8177,0.03999
-0.8077,0.03879
-0.7971,0.03759
-0.7859,0.03646
-0.7746,0.03535
-0.7623,0.03434
-0.75,0.03337
-0.7364,0.03252
-0.7237,0.0316
-0.7202,0.0301
-0.7091,0.02911
-0.6963,0.02824
-0.6816,0.0275
-0.6677,0.02675
-0.6539,0.026
-0.6386,0.02536
-0.6239,0.02468
-0.6071,0.0241
-0.5945,0.02331
-0.5813,0.02258
-0.5651,0.02201
-0.5487,0.02146
-0.532,0.02094
-0.5134,0.02052
-0.5005,0.01985
-0.4835,0.01938
-0.4664,0.01894
-0.4495,0.01851
-0.4333,0.01801
-0.4152,0.01761
-0.399,0.01714
-0.3819,0.01672
-0.3664,0.01625
-0.3527,0.01571
-0.3431,0.01505
-0.3388,0.01423
-0.3359,0.0134
-0.3348,0.01256
-0.3367,0.01167
-0.3402,0.01081
-0.3504,0.00987
-0.3588,0.00919
-0.3743,0.00872
-0.3819,0.00799
-0.3793,0.00739
-0.3539,0.0074
-0.3263,0.00743
-0.2983,0.0075
-0.2704,0.00761
-0.2418,0.00776
-0.2133,0.00788
-0.1834,0.00803
-0.1537,0.00819
-0.1247,0.00835
-0.0959,0.00838
-0.066,0.00842
-0.0359,0.00851
-0.0064,0.00854
0.0232,0.00858
0.0527,0.00865
0.0822,0.00873
0.1115,0.00879
0.1408,0.00881
0.1701,0.00882
0.1995,0.00884
0.2287,0.00889
0.2574,0.00903
0.2859,0.00902
0.3142,0.0089
0.3423,0.00877
0.3709,0.0087
0.3997,0.00867
0.4288,0.00861
0.4587,0.00853
0.4892,0.00843
0.5194,0.00841
0.5487,0.00849
0.5751,0.00836
0.6025,0.00824
0.6314,0.0081
0.6611,0.00803
0.685,0.00793
0.7098,0.00781
0.7331,0.00773
0.7549,0.00769
0.7742,0.00768
0.7762,0.0078
0.7522,0.00836
0.7308,0.00933
0.7159,0.01037
0.7007,0.0116
0.6922,0.01272
0.6852,0.01388
0.6828,0.01496
0.68,0.01611
0.6818,0.01715
0.6838,0.01822
0.6878,0.01926
0.6919,0.02032
0.6972,0.02138
0.7039,0.02241
0.7135,0.02333
0.7265,0.02412
0.7413,0.02483
0.7561,0.02555
0.7704,0.02628
0.7872,0.02688
0.8009,0.02768
0.8169,0.02838
0.8314,0.02917
0.8449,0.03005
0.8612,0.03077
0.8761,0.03159
0.8892,0.03253
0.9008,0.03361
0.9145,0.03453
0.9284,0.03543
0.941,0.03646
0.9534,0.03752
0.9663,0.03857
0.9762,0.03987
0.9853,0.04127
0.9901,0.04303
0.9998,0.0444
1.0124,0.04556
1.0213,0.04706
1.0299,0.04863
1.0384,0.05026
1.0459,0.052
1.0553,0.05356
1.0618,0.05542
1.0662,0.05753
1.0733,0.05946
1.0799,0.06147
1.0862,0.06349
1.0897,0.06587
1.0933,0.06831
1.0975,0.07066
1.0996,0.0733
1.0976,0.07643
1.1029,0.0788
