Cl,Cd
-0.4965,0.08238
-0.5797,0.06292
-0.6249,0.05322
-0.6132,0.05205
-0.6518,0.0452
-0.6636,0.04196
-0.6847,0.038
-0.6799,0.03671
-0.6793,0.03511
-0.6836,0.03298
-0.6788,0.03181
-0.683,0.02961
-0.6775,0.02849
-0.6727,0.02706
-0.6639,0.02612
-0.6554,0.02507
-0.6462,0.02397
-0.6346,0.02321
-0.6222,0.02232
-0.6091,0.02139
-0.5942,0.02079
-0.5784,0.02032
-0.5634,0.01957
-0.5507,0.0185
-0.5362,0.01781
-0.5229,0.01706
-0.5077,0.01646
-0.4919,0.01593
-0.4754,0.01547
-0.4591,0.01505
-0.4432,0.01468
-0.4265,0.01435
-0.4072,0.01409
-0.3865,0.01382
-0.3697,0.01331
-0.3491,0.01302
-0.3272,0.01273
-0.3047,0.01247
-0.2818,0.01222
-0.2601,0.01188
-0.2367,0.01166
-0.2138,0.01139
-0.1909,0.01112
-0.1693,0.01077
-0.1467,0.01048
-0.1234,0.01023
-0.0999,0.00999
-0.0762,0.00977
-0.0531,0.0095
-0.0307,0.0092
-0.0099,0.00881
0.0079,0.00816
0.0241,0.0074
0.0443,0.00699
0.0724,0.00703
0.101,0.00709
0.1298,0.00714
0.1587,0.00721
0.1876,0.00726
0.2166,0.00733
0.2457,0.00741
0.2746,0.00748
0.3034,0.00757
0.3324,0.00769
0.3613,0.00779
0.3899,0.00785
0.4191,0.00797
0.4485,0.00812
0.4773,0.00816
0.506,0.00817
0.5346,0.00818
0.5633,0.0082
0.5918,0.00815
0.6204,0.00814
0.6491,0.00813
0.6778,0.00812
0.7065,0.00815
0.7357,0.00829
0.763,0.00823
0.7905,0.00819
0.8183,0.00816
0.8462,0.00814
0.8741,0.00814
0.9026,0.00823
0.9292,0.0082
0.9561,0.00817
0.9828,0.00811
1.0093,0.00812
1.0355,0.00812
1.0616,0.00811
1.0862,0.00813
1.112,0.00815
1.1355,0.00821
1.1575,0.00831
1.1736,0.00855
1.1808,0.00903
1.1794,0.00955
1.1789,0.01015
1.1788,0.0108
1.177,0.01155
1.1721,0.01248
1.1686,0.01352
1.1654,0.01464
1.1622,0.01593
1.1599,0.01734
1.1596,0.01873
1.1569,0.02027
1.1587,0.02166
1.16,0.02304
1.1611,0.02445
1.1633,0.0258
1.1878,0.02746
1.201,0.0292
1.2073,0.03067
1.2132,0.0322
1.2201,0.03366
1.2261,0.03525
1.2336,0.03672
1.2411,0.03823
1.2471,0.03988
1.2571,0.04123
1.2633,0.04292
1.2724,0.04439
1.2808,0.04592
1.287,0.04769
1.2961,0.04923
1.3035,0.05093
1.3107,0.05267
1.3191,0.05434
1.326,0.05615
1.3312,0.05817
1.3396,0.05991
1.3457,0.06186
1.3487,0.06421
1.3567,0.06604
1.3622,0.06817
1.3641,0.07074
1.3706,0.07281
1.3736,0.07532
1.3747,0.07807
1.3782,0.08062
