Cl,Cd
-0.9183,0.05545
-0.9504,0.04468
-0.9622,0.04022
-0.979,0.03638
-0.9894,0.0339
-1.002,0.03187
-1.0041,0.03076
-1.001,0.02941
-1.0177,0.026
-1.013,0.02439
-1.0012,0.02343
-0.987,0.02265
-0.9709,0.02205
-0.9542,0.02149
-0.9385,0.02077
-0.9221,0.02008
-0.9053,0.01945
-0.8864,0.0191
-0.8675,0.01878
-0.8591,0.01677
-0.8326,0.01617
-0.8002,0.01573
-0.7677,0.0152
-0.7344,0.01474
-0.7004,0.01441
-0.6727,0.01319
-0.6405,0.0127
-0.607,0.0123
-0.573,0.01185
-0.5382,0.01148
-0.5071,0.01086
-0.4782,0.01034
-0.4452,0.00998
-0.4107,0.00965
-0.3752,0.00935
-0.3426,0.00889
-0.3141,0.00861
-0.2818,0.00824
-0.2524,0.00789
-0.222,0.00762
-0.1925,0.00735
-0.1626,0.00711
-0.1354,0.00689
-0.1087,0.00663
-0.0824,0.0064
-0.0566,0.00616
-0.0315,0.00586
-0.0065,0.00558
0.0186,0.00534
0.0432,0.00509
0.0678,0.00486
0.0913,0.00465
0.1159,0.0046
0.1416,0.00464
0.1676,0.0047
0.1939,0.00476
0.2202,0.00483
0.2462,0.00491
0.2723,0.00501
0.298,0.0051
0.3241,0.0052
0.3501,0.0053
0.3754,0.00542
0.4011,0.00554
0.426,0.00566
0.4509,0.00583
0.475,0.00599
0.4993,0.00614
0.5233,0.00631
0.5494,0.00649
0.5771,0.00672
0.6084,0.00696
0.6398,0.00724
0.673,0.00757
0.7053,0.00795
0.7364,0.00837
0.7698,0.0087
0.8032,0.00898
0.8232,0.00921
0.843,0.00945
0.8644,0.00972
0.8865,0.01004
0.9095,0.01033
0.9331,0.01062
0.956,0.01099
0.9798,0.01127
1.0032,0.01162
1.0267,0.01195
1.0498,0.01231
1.0729,0.01268
1.0954,0.0131
1.1184,0.01345
1.1396,0.01397
1.1626,0.0143
1.1834,0.01482
1.2047,0.01527
1.2251,0.01579
1.2443,0.0164
1.2641,0.01691
1.2796,0.01775
1.2985,0.01826
1.3163,0.01882
1.3315,0.01948
1.3407,0.02035
1.3485,0.02126
1.3601,0.02197
1.3701,0.02278
1.3785,0.0237
1.3859,0.02471
1.393,0.02578
1.3967,0.02713
1.399,0.02866
1.3918,0.03102
1.391,0.03308
1.3795,0.03629
1.3729,0.03937
1.3709,0.04219
1.364,0.04581
1.3616,0.04909
1.3465,0.05432
1.3374,0.05903
1.3251,0.06449
1.3153,0.06981
1.2929,0.07748
1.276,0.08455
1.2541,0.09277
1.2327,0.10118
1.2106,0.10998
