Cl,Cd
-0.324,0.13326
-0.325,0.12914
-0.3227,0.12555
-0.3173,0.12182
-0.3113,0.11904
-0.3035,0.11692
-0.2983,0.11427
-0.2931,0.11176
-0.2885,0.10916
-0.1817,0.09217
-0.1669,0.08581
-0.1419,0.07873
-0.1029,0.07299
-0.0895,0.0699
-0.0879,0.0674
-0.0858,0.06473
-0.0847,0.06185
-0.0846,0.0588
-0.0858,0.05562
-0.1284,0.06355
-0.1322,0.06054
-0.1319,0.05686
-0.1345,0.04871
-0.1414,0.04197
-0.1294,0.03981
-0.1142,0.0381
-0.0978,0.0364
-0.081,0.0345
-0.0632,0.03245
-0.0451,0.03008
-0.0361,0.02368
-0.014,0.02258
0.0085,0.02172
0.0323,0.02096
0.0475,0.0159
0.0726,0.01544
0.0956,0.01281
0.1213,0.01191
0.147,0.01131
0.1734,0.01092
0.2,0.01053
0.2262,0.01017
0.2522,0.00992
0.2791,0.00965
0.3059,0.00948
0.3308,0.00908
0.3571,0.00889
0.3841,0.00873
0.4109,0.00863
0.4375,0.00858
0.4648,0.00845
0.4915,0.00837
0.5182,0.00833
0.5455,0.00821
0.5723,0.00815
0.5951,0.00769
0.6054,0.00639
0.6964,0.00623
0.7536,0.0063
0.7775,0.00635
0.801,0.00644
0.8254,0.00649
0.8487,0.00659
0.8731,0.00666
0.8965,0.00678
0.9207,0.00687
0.9442,0.00699
0.9676,0.00713
0.9914,0.00726
1.0145,0.00742
1.0375,0.0076
1.0609,0.00776
1.0839,0.00794
1.1065,0.00815
1.1288,0.00838
1.1734,0.00884
1.1952,0.00909
1.2165,0.00936
1.2371,0.00967
1.2575,0.00999
1.2774,0.01033
1.2974,0.01066
1.3172,0.01099
1.3381,0.01126
1.3572,0.0116
1.3755,0.01196
1.3951,0.01225
1.4119,0.01264
1.4279,0.01299
1.442,0.01337
1.4535,0.01386
1.4638,0.01443
1.4724,0.01512
1.4782,0.01598
1.4813,0.01702
1.4774,0.01855
1.472,0.02036
1.46,0.02289
1.4604,0.02478
1.4666,0.02635
1.472,0.02805
1.4782,0.02974
1.4845,0.03148
1.4889,0.03343
1.491,0.03565
1.4905,0.03817
1.4919,0.04054
1.4948,0.04283
1.4971,0.04521
1.4964,0.04795
1.4971,0.0506
1.4956,0.05356
1.4905,0.05699
1.4859,0.06044
1.4783,0.06435
1.467,0.06879
1.4523,0.07382
1.4465,0.07774
1.4414,0.0816
1.4332,0.08596
1.4265,0.0902
1.4189,0.09461
1.4086,0.09945
1.3985,0.10437
1.3923,0.10875
