Cl,Cd
0.0202,0.10084
0.0054,0.0944
0.0147,0.09117
0.0273,0.08915
0.0372,0.08692
0.0461,0.08461
0.0548,0.08234
0.0614,0.07969
-0.3432,0.02756
-0.34,0.0248
-0.3246,0.02347
-0.3085,0.02209
-0.2894,0.02103
-0.2698,0.01999
-0.2478,0.01926
-0.2271,0.01823
-0.206,0.01717
-0.1835,0.01629
-0.1597,0.01555
-0.1357,0.01487
-0.1108,0.01432
-0.085,0.01391
-0.0624,0.01281
-0.0372,0.01229
-0.0106,0.01199
0.0157,0.01168
0.0421,0.01137
0.0688,0.01107
0.0958,0.01082
0.123,0.01059
0.1506,0.01039
0.1767,0.00996
0.2033,0.00966
0.2304,0.00946
0.2578,0.00928
0.2852,0.00911
0.313,0.00901
0.3392,0.00873
0.3661,0.00856
0.3934,0.00844
0.4211,0.00839
0.4474,0.00816
0.4746,0.00805
0.5015,0.00794
0.5286,0.00785
0.5554,0.00774
0.5817,0.0077
0.6083,0.00761
0.634,0.00757
0.6593,0.00757
0.6848,0.00754
0.7097,0.00754
0.7336,0.00759
0.756,0.00765
0.7775,0.00767
0.7988,0.00783
0.8415,0.00813
0.874,0.0074
0.9377,0.00739
0.9582,0.00759
0.9783,0.0078
0.998,0.00802
1.0171,0.00826
1.0357,0.00852
1.0529,0.0088
1.0673,0.00911
1.0809,0.00945
1.0952,0.00979
1.1093,0.01018
1.1227,0.01062
1.137,0.01106
1.152,0.01149
1.1682,0.01189
1.1855,0.01225
1.2025,0.01264
1.2208,0.01298
1.2395,0.01332
1.2578,0.01368
1.2751,0.0141
1.2917,0.01456
1.3113,0.01489
1.3305,0.01525
1.3493,0.01563
1.3674,0.01606
1.3852,0.01652
1.4023,0.01702
1.4182,0.0176
1.4316,0.01833
1.4511,0.01874
1.4699,0.01919
1.4881,0.01967
1.5057,0.0202
1.5227,0.02078
1.5383,0.02144
1.5526,0.02221
1.5641,0.02315
1.5829,0.02363
1.601,0.02416
1.6182,0.02476
1.634,0.02547
1.6482,0.02628
1.6593,0.02732
1.6753,0.02803
1.692,0.0287
1.7062,0.02956
1.7163,0.03073
1.7307,0.03158
1.7395,0.03288
1.744,0.03453
1.7444,0.03657
1.7445,0.03869
1.7474,0.04062
1.7477,0.04284
1.7527,0.04469
1.7504,0.04726
1.7536,0.04937
1.751,0.0521
1.7478,0.05497
1.7442,0.05796
1.7383,0.06127
1.7314,0.06481
1.7264,0.06825
1.7194,0.07197
1.7096,0.07613
1.7022,0.0801
1.6947,0.08417
1.6846,0.08868
1.6721,0.0936
1.6559,0.09922
