Cl,Cd
-0.3941,0.08891
-0.3907,0.08547
-0.3929,0.08284
-0.3918,0.07959
-0.3918,0.07568
-0.3929,0.07151
-0.6177,0.02871
-0.6032,0.02231
-0.5854,0.01982
-0.5665,0.01871
-0.5444,0.01764
-0.5206,0.01669
-0.4954,0.01593
-0.4694,0.01528
-0.4429,0.01469
-0.416,0.01416
-0.3888,0.01369
-0.3613,0.01329
-0.3335,0.01295
-0.307,0.01224
-0.2796,0.01181
-0.2517,0.01147
-0.2237,0.0112
-0.1955,0.01097
-0.1673,0.01075
-0.1388,0.01053
-0.1105,0.01028
-0.082,0.0101
-0.0535,0.00998
-0.025,0.00986
0.0038,0.00971
0.0325,0.00957
0.0611,0.00946
0.0898,0.00937
0.1183,0.00926
0.1467,0.00903
0.1753,0.00886
0.2038,0.00871
0.2317,0.00848
0.2592,0.00801
0.285,0.00736
0.31,0.0069
0.3339,0.00661
0.3589,0.00654
0.3905,0.00661
0.4297,0.00681
0.47,0.00702
0.5066,0.00719
0.5327,0.00734
0.5593,0.00743
0.5859,0.00756
0.6124,0.00772
0.6392,0.00786
0.6664,0.00795
0.6937,0.00806
0.7209,0.0082
0.7481,0.00836
0.7751,0.00856
0.8027,0.00866
0.8304,0.00877
0.858,0.00889
0.8855,0.00903
0.9129,0.00918
0.94,0.00936
0.9667,0.00961
0.9942,0.00974
1.0218,0.00985
1.0493,0.00998
1.0766,0.01012
1.1036,0.01029
1.1302,0.01052
1.157,0.01071
1.1845,0.0108
1.2116,0.01095
1.238,0.01117
1.2646,0.01135
1.2913,0.01152
1.3171,0.01179
1.3431,0.01201
1.3682,0.01234
1.3925,0.01273
1.417,0.0131
1.4406,0.01353
1.4648,0.01389
1.4883,0.01429
1.5106,0.01479
1.5344,0.01512
1.5576,0.0155
1.5793,0.01598
1.6007,0.01648
1.623,0.01686
1.6428,0.01743
1.6626,0.01796
1.6813,0.01855
1.6982,0.01923
1.7118,0.02009
1.7196,0.02116
1.7138,0.02289
1.7006,0.0255
1.6887,0.02873
1.679,0.03255
1.6673,0.03725
1.6509,0.04285
1.6334,0.04853
1.6097,0.05486
1.5589,0.06762
1.5318,0.07421
1.5061,0.08098
