Cl,Cd
-0.6833,0.08669
-0.7507,0.07478
-0.8135,0.06551
-0.9479,0.04285
-0.9656,0.0327
-0.9535,0.02834
-0.9348,0.02597
-0.9096,0.02413
-0.8841,0.02234
-0.8543,0.02128
-0.8213,0.0206
-0.7915,0.01998
-0.7685,0.0192
-0.7377,0.01879
-0.7043,0.01849
-0.671,0.01821
-0.6484,0.01797
-0.6201,0.01758
-0.6002,0.0169
-0.576,0.01667
-0.5454,0.01668
-0.5235,0.0165
-0.4981,0.0163
-0.4728,0.01623
-0.4491,0.01604
-0.4283,0.01545
-0.4115,0.01461
-0.3877,0.01432
-0.3634,0.01425
-0.3156,0.01382
-0.2918,0.01357
-0.2682,0.01333
-0.2438,0.01317
-0.2195,0.01298
-0.1974,0.01251
-0.1788,0.0116
-0.156,0.01126
-0.1325,0.01097
-0.109,0.01074
-0.0853,0.01051
-0.0616,0.0103
-0.0382,0.01013
-0.0154,0.00996
0.0072,0.00985
0.052,0.00973
0.0738,0.00952
0.0967,0.00933
0.1209,0.0092
0.1449,0.00912
0.17,0.00903
0.1944,0.00898
0.22,0.00891
0.2446,0.00885
0.2699,0.00875
0.2947,0.0086
0.3187,0.00855
0.3441,0.00842
0.3679,0.00827
0.3913,0.00824
0.4163,0.00817
0.4401,0.00813
0.4629,0.00813
0.4875,0.00809
0.5117,0.00812
0.5352,0.0082
0.5607,0.00824
0.5849,0.0083
0.6079,0.00839
0.6334,0.00845
0.657,0.00851
0.6796,0.00863
0.7045,0.00868
0.7271,0.00873
0.7477,0.00882
0.7705,0.00886
0.7917,0.00892
0.8113,0.00903
0.8337,0.00909
0.8546,0.00912
0.8744,0.00924
0.8956,0.00933
0.917,0.00943
0.9357,0.00959
0.9566,0.00966
0.9742,0.00983
0.9956,0.00992
1.0134,0.01011
1.0344,0.01024
1.0519,0.01043
1.0706,0.01059
1.0873,0.01082
1.1019,0.01113
1.1139,0.01156
1.1182,0.01227
1.1079,0.0136
1.0862,0.01546
1.0612,0.01763
1.0548,0.01913
1.0644,0.0199
1.0742,0.02071
1.0836,0.02158
1.0953,0.02235
1.1061,0.02322
1.114,0.0243
1.1198,0.02559
1.3005,0.02803
1.3038,0.02961
1.298,0.03203
1.2984,0.03408
1.3061,0.03557
1.3085,0.03761
1.3082,0.03999
1.3159,0.04166
1.3174,0.04399
1.3166,0.04663
1.3209,0.04876
1.3221,0.05127
1.3198,0.05421
1.3153,0.05741
1.3119,0.06056
1.2997,0.06476
1.2946,0.06816
1.2914,0.07137
1.2938,0.07399
1.2944,0.07686
1.2958,0.07963
1.2959,0.08256
1.2961,0.08549
