Cl,Cd
-0.7142,0.04752
-0.769,0.03979
-0.7827,0.03435
-0.7591,0.03031
-0.7316,0.02766
-0.704,0.02579
-0.6734,0.02434
-0.6409,0.02326
-0.6123,0.02016
-0.5806,0.01883
-0.5517,0.01794
-0.5198,0.01723
-0.4874,0.01659
-0.4597,0.01597
-0.4299,0.01528
-0.4024,0.01466
-0.3742,0.01406
-0.3469,0.01354
-0.32,0.01306
-0.2926,0.01264
-0.2651,0.01229
-0.2376,0.01199
-0.211,0.01122
-0.1837,0.01078
-0.156,0.01048
-0.1281,0.01024
-0.1002,0.01003
-0.0723,0.00982
-0.0444,0.00963
-0.0163,0.00947
0.0116,0.00922
0.0395,0.009
0.0676,0.00888
0.0957,0.00878
0.1239,0.00871
0.1521,0.00857
0.1804,0.0085
0.2373,0.00831
0.2658,0.00824
0.2941,0.0082
0.3228,0.00812
0.3513,0.00802
0.3795,0.00785
0.4077,0.00783
0.4358,0.00785
0.4637,0.00789
0.4915,0.00792
0.5192,0.00786
0.5471,0.00779
0.5752,0.00772
0.6032,0.00765
0.6311,0.00767
0.6587,0.00776
0.6867,0.00783
0.7145,0.00795
0.7421,0.00809
0.7701,0.00819
0.7976,0.00834
0.853,0.00859
0.8807,0.00871
0.9079,0.00888
0.9346,0.00907
0.9882,0.00943
1.0146,0.00965
1.0402,0.00991
1.0646,0.01023
1.0865,0.01062
1.1013,0.01174
1.1241,0.01237
1.1496,0.01271
1.1745,0.01308
1.1956,0.01382
1.2206,0.01414
1.2453,0.01448
1.2696,0.01484
1.2931,0.01524
1.3159,0.01569
1.3387,0.01611
1.3614,0.01651
1.3833,0.01696
1.4045,0.01743
1.4247,0.01794
1.4439,0.01849
1.4606,0.0191
1.4744,0.01981
1.4854,0.02067
1.4916,0.02183
1.5057,0.02253
1.5187,0.02333
1.5303,0.02426
1.541,0.02528
1.5508,0.02643
1.5591,0.02774
1.5662,0.02923
1.5717,0.03093
1.576,0.03284
1.5786,0.03502
1.5792,0.03751
1.5776,0.04038
1.5726,0.04376
1.5641,0.04769
1.5513,0.05228
1.533,0.05763
1.5316,0.06108
1.532,0.06436
1.5296,0.06805
1.5253,0.07204
1.5199,0.07624
1.5142,0.0805
1.5081,0.08484
